k2,reproduction_rate,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,avg_transition_cost,yield_condition_met_count
0.0,0.058,6,False,True,False,90,300,0.0,0.0,880.4973115846062,299
0.0,0.058,7,False,True,False,94,299,0.0,0.0,874.9297395990623,298
0.0,0.058,10,False,True,False,34,300,0.0,0.0,878.891782368488,299
0.0,0.058,9,False,True,False,117,299,0.0,0.0,874.1922889010589,298
0.0,0.058,13,False,True,False,68,299,0.0,0.0,872.9023209143419,298
0.0,0.058,11,False,True,False,43,300,0.0,0.0,878.9920022726566,299
0.0,0.058,12,False,True,False,43,299,0.0,0.0,871.8454621723419,298
0.0,0.058,14,False,True,False,30,299,0.0,0.0,871.6214405253533,298
0.0,0.058,16,False,True,False,81,300,0.0,0.0,876.6088944484342,299
0.0,0.058,15,False,True,False,48,299,0.0,0.0,871.0136298287256,298
0.0,0.058,17,False,True,False,58,300,0.0,0.0,877.5155955927144,299
0.0,0.058,20,False,True,False,33,300,0.0,0.0,876.1302576678669,299
0.0,0.058,18,False,True,False,45,299,0.0,0.0,869.0326980352194,298
0.0,0.058,19,False,True,False,42,300,0.0,0.0,879.2103548927172,299
0.0,0.058,21,False,True,False,41,299,0.0,0.0,868.2416200202033,298
0.0,0.058,28,False,True,False,68,299,0.0,0.0,866.972312122153,298
0.0,0.058,22,False,True,False,138,299,0.0,0.0,872.3113079256171,298
0.0,0.058,23,False,True,False,46,299,0.0,0.0,872.3081594406464,298
0.0,0.058,27,False,True,False,39,299,0.0,0.0,873.9076759234096,298
0.0,0.058,29,False,True,False,57,299,0.0,0.0,871.5279892645549,298
0.0,0.058,24,False,True,False,76,299,0.0,0.0,875.9463280088598,298
0.0,0.058,25,False,True,False,87,299,0.0,0.0,867.3867553486508,298
0.0,0.058,26,False,True,False,40,299,0.0,0.0,870.8023620591952,298
0.0,0.058,30,False,True,False,60,299,0.0,0.0,869.4016859041598,298
0.0,0.058,31,False,True,False,32,299,0.0,0.0,872.2051083960619,298
0.0,0.058,34,False,True,False,108,299,0.0,0.0,867.5442222002412,298
0.0,0.058,32,False,True,False,60,299,0.0,0.0,871.4351122104064,298
0.0,0.058,35,False,True,False,100,299,0.0,0.0,874.1161002908618,298
0.0,0.058,33,False,True,False,62,299,0.0,0.0,872.8478426375758,298
0.0,0.058,39,False,True,False,47,299,0.0,0.0,869.9685254998647,298
0.0,0.058,37,False,True,False,83,300,0.0,0.0,877.3116776901124,299
0.0,0.058,36,False,True,False,32,299,0.0,0.0,873.3051662792565,298
0.0,0.058,38,False,True,False,26,299,0.0,0.0,872.1835914920117,298
0.0,0.058,40,False,True,False,100,299,0.0,0.0,870.6206819732952,298
0.0,0.058,41,False,True,False,45,299,0.0,0.0,872.0087213405325,298
0.0,0.058,42,False,True,False,70,299,0.0,0.0,868.7045073163814,298
0.0,0.058,43,False,True,False,98,299,0.0,0.0,874.1316394438853,298
0.0,0.058,46,False,True,False,87,299,0.0,0.0,871.0723280569955,298
0.0,0.058,47,False,True,False,54,299,0.0,0.0,867.7866469911779,298
0.0,0.058,45,False,True,False,45,299,0.0,0.0,872.2280213989611,298
0.0,0.058,44,False,True,False,81,300,0.0,0.0,881.9420986394802,299
