phi,alpha,reproduction_rate,survived,collapsed,extinct,final_population,final_avg_U_sys,final_avg_L_t
1.0,1.3571428571428572,0.07500000000000001,True,False,False,195,2.196642579209761,0.1805526308712044
1.0,1.3571428571428572,0.08,True,False,False,302,2.3424486507296356,0.24664146619580726
1.0,1.3571428571428572,0.08499999999999999,True,False,False,403,2.4669930617203635,0.3071816341918063
1.0,1.2428571428571429,0.14,True,False,False,886,2.6742992789984985,0.40528446365485243
1.0,1.4714285714285715,0.04,False,True,True,0,0.0,0.0
1.0,1.4714285714285715,0.045,False,True,True,0,0.0,0.0
1.0,1.4714285714285715,0.05,False,True,True,0,0.0,0.0
1.0,1.3571428571428572,0.09,True,False,False,448,2.4768148401835406,0.3111643540324102
1.0,1.3571428571428572,0.095,True,False,False,493,2.5241364149177388,0.3344746369873589
1.0,1.4714285714285715,0.055,False,True,True,0,0.0,0.0
1.0,1.3571428571428572,0.1,True,False,False,592,2.5781612210204474,0.36116194177957633
1.0,1.4714285714285715,0.06,False,True,True,0,0.0,0.0
1.0,1.3571428571428572,0.10500000000000001,True,False,False,577,2.5601965098990624,0.35207897702223895
1.0,1.3571428571428572,0.11000000000000001,True,False,False,651,2.6009101822118215,0.37218568104702754
1.0,1.3571428571428572,0.11499999999999999,True,False,False,743,2.646779984972986,0.394945232619765
1.0,1.3571428571428572,0.12,True,False,False,754,2.6512992138091023,0.3972329490686746
1.0,1.3571428571428572,0.125,True,False,False,768,2.6198130634191537,0.3809965176238763
1.0,1.4714285714285715,0.065,False,True,True,0,0.0,0.0
1.0,1.3571428571428572,0.13,True,False,False,803,2.651009244526258,0.3968649164592038
1.0,1.3571428571428572,0.14,True,False,False,842,2.667648246828427,0.40204077575597863
1.0,1.4714285714285715,0.07,False,True,False,22,0.0,0.0
1.0,1.3571428571428572,0.135,True,False,False,880,2.6486669495246926,0.3951968078492811
1.0,1.4714285714285715,0.07500000000000001,False,True,False,189,0.0,0.0
1.0,1.4714285714285715,0.08,True,False,False,285,2.301319134683962,0.22756113760728405
1.0,1.4714285714285715,0.08499999999999999,True,False,False,407,2.4536161858526784,0.300219299663382
1.0,1.4714285714285715,0.09,True,False,False,452,2.466836642556106,0.3064001779821636
1.0,1.5857142857142859,0.045,False,True,True,0,0.0,0.0
1.0,1.4714285714285715,0.095,True,False,False,469,2.4878129337696135,0.31321871234054843
1.0,1.5857142857142859,0.04,False,True,True,0,0.0,0.0
1.0,1.5857142857142859,0.055,False,True,True,0,0.0,0.0
1.0,1.5857142857142859,0.05,False,True,True,0,0.0,0.0
1.0,1.4714285714285715,0.1,True,False,False,505,2.531761155832657,0.338088414578434
1.0,1.4714285714285715,0.10500000000000001,True,False,False,570,2.5688674871435713,0.35650987577178456
1.0,1.4714285714285715,0.11000000000000001,True,False,False,650,2.598455933253666,0.37098810725233394
1.0,1.4714285714285715,0.11499999999999999,True,False,False,724,2.6192860183007602,0.381014770649371
1.0,1.5857142857142859,0.06,False,True,True,0,0.0,0.0
1.0,1.4714285714285715,0.12,True,False,False,766,2.634213736150807,0.3884428464400667
1.0,1.4714285714285715,0.125,True,False,False,785,2.625645075912695,0.38388433167775926
1.0,1.4714285714285715,0.135,True,False,False,813,2.6730982740185945,0.40486402059461735
1.0,1.4714285714285715,0.13,True,False,False,806,2.651823315082341,0.39717706144693143
1.0,1.5857142857142859,0.065,False,True,False,24,0.0,0.0
1.0,1.5857142857142859,0.07,False,True,False,140,0.0,0.0
1.0,1.5857142857142859,0.07500000000000001,False,True,False,171,0.0,0.0
1.0,1.4714285714285715,0.14,True,False,False,914,2.728259446767077,0.4362284607576311
1.0,1.5857142857142859,0.08,False,True,False,223,0.0,0.0
1.0,1.5857142857142859,0.08499999999999999,True,False,False,385,2.4295551204410435,0.288461135835007
1.0,1.7,0.04,False,True,True,0,0.0,0.0
1.0,1.5857142857142859,0.09,True,False,False,535,2.522340850726228,0.3300694232460336
1.0,1.7,0.045,False,True,True,0,0.0,0.0
1.0,1.5857142857142859,0.095,True,False,False,467,2.513247671555919,0.32937839136125757
1.0,1.5857142857142859,0.1,True,False,False,553,2.543635398590051,0.34379900352855847
1.0,1.7,0.05,False,True,True,0,0.0,0.0
1.0,1.7,0.055,False,True,True,0,0.0,0.0
1.0,1.5857142857142859,0.10500000000000001,True,False,False,595,2.560375477684397,0.35189685582930935
1.0,1.5857142857142859,0.11499999999999999,True,False,False,747,2.607823564811927,0.37508864596051666
1.0,1.5857142857142859,0.11000000000000001,True,False,False,651,2.601216466969261,0.37235511896818635
1.0,1.7,0.06,False,True,True,0,0.0,0.0
1.0,1.5857142857142859,0.12,True,False,False,767,2.6384240215841013,0.39059881527532986
1.0,1.7,0.065,False,True,True,0,0.0,0.0
1.0,1.5857142857142859,0.13,True,False,False,781,2.662607552498522,0.4028954001862138
1.0,1.5857142857142859,0.135,True,False,False,842,2.6472973469649594,0.39153692252435174
1.0,1.5857142857142859,0.125,True,False,False,765,2.630661628324049,0.3865349782684489
1.0,1.7,0.07,False,True,False,137,0.0,0.0
1.0,1.5857142857142859,0.14,True,False,False,842,2.684469763895035,0.4138129924374378
1.0,1.7,0.07500000000000001,True,False,False,270,2.334480373646921,0.2437045691337016
1.0,1.7,0.08,True,False,False,299,2.37219464560568,0.2589123636382277
1.0,1.7,0.08499999999999999,True,False,False,360,2.4275511696445133,0.28780475503019
1.0,1.7,0.09,True,False,False,471,2.5009946511867,0.32323300280469125
1.0,1.7,0.095,True,False,False,539,2.5326065444012933,0.3353281082922083
1.0,1.8142857142857143,0.04,False,True,True,0,0.0,0.0
1.0,1.8142857142857143,0.045,False,True,True,0,0.0,0.0
1.0,1.7,0.1,True,False,False,598,2.5809202700554064,0.3624380470654174
1.0,1.8142857142857143,0.05,False,True,True,0,0.0,0.0
1.0,1.7,0.11000000000000001,True,False,False,633,2.5520816364114025,0.34719275756026363
1.0,1.7,0.11499999999999999,True,False,False,730,2.6197889305673883,0.38128679049017
1.0,1.7,0.10500000000000001,True,False,False,550,2.560952842557897,0.3494749980115166
1.0,1.8142857142857143,0.055,False,True,True,0,0.0,0.0
1.0,1.8142857142857143,0.06,False,True,True,0,0.0,0.0
1.0,1.7,0.12,True,False,False,743,2.632658603132126,0.3877870177610578
1.0,1.7,0.125,True,False,False,789,2.633526483334252,0.3879628737359149
1.0,1.8142857142857143,0.065,False,True,False,1,0.0,0.0
1.0,1.7,0.135,True,False,False,826,2.6433020279867776,0.3926972632411192
1.0,1.7,0.13,True,False,False,783,2.6253322497631606,0.3839046398179645
1.0,1.8142857142857143,0.07,False,True,False,130,0.0,0.0
1.0,1.8142857142857143,0.07500000000000001,False,True,False,160,0.0,0.0
1.0,1.7,0.14,True,False,False,831,2.6760948383584524,0.4064817795366945
1.0,1.8142857142857143,0.08,True,False,False,321,2.3292833125721577,0.24026476741675323
1.0,1.8142857142857143,0.08499999999999999,True,False,False,367,2.395992792887836,0.269062687434832
1.0,1.8142857142857143,0.09,True,False,False,486,2.4557776190436877,0.30036634234321896
1.0,1.8142857142857143,0.095,True,False,False,498,2.531401041201101,0.3352734401932106
1.0,1.8142857142857143,0.1,True,False,False,590,2.532256714034243,0.3377974206067603
