wb_repro_floor,wb_repro_threshold,phi,reproduction_rate,alpha,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,final_avg_well_being,total_births,total_deaths
0.0,0.5,5.0,0.069,1.0,5,True,False,False,492,11,7.611231295556221,0.1797704191812104,0.806211622828631,4839,4547
0.0,0.5,5.0,0.069,1.0,4,True,False,False,673,11,10.011783130810631,0.23978875296250873,0.8000088792546377,6165,5692
0.0,0.5,5.0,0.069,1.0,7,True,False,False,476,11,7.179117272975118,0.16896675168619185,0.804603725770942,5194,4918
0.0,0.5,5.0,0.069,1.0,6,True,False,False,625,11,9.019255680530943,0.21497369056697022,0.7954264113201994,6148,5723
0.0,0.5,5.0,0.069,1.0,8,True,False,False,468,11,7.032888447362167,0.1653107547245621,0.8139470168519866,4900,4632
0.0,0.5,5.0,0.069,1.0,10,True,False,False,295,11,4.6127236617116,0.10480205998482994,0.8086139156045059,3767,3672
0.0,0.5,5.0,0.069,1.0,9,True,False,False,491,11,7.58750257882682,0.1791771564149719,0.8089983738792519,5353,5062
0.0,0.5,5.0,0.069,1.0,11,True,False,False,635,11,9.416447589692917,0.22490423908606189,0.8056336555552439,6024,5589
0.0,0.5,5.0,0.069,1.0,12,True,False,False,523,11,8.067840424817767,0.19118651053977562,0.808925527228614,5441,5118
0.0,0.5,5.0,0.069,1.0,13,True,False,False,453,11,6.898953515042992,0.16196212819709782,0.8045246590872388,5322,5069
0.0,0.5,5.0,0.069,1.0,14,True,False,False,598,11,9.051584936834846,0.2157819830754139,0.8109531823397205,5901,5503
0.0,0.5,10.0,0.06,1.0,0,False,True,False,79,11,0.0,0.0,0.8017531046410508,2039,2160
0.0,0.5,10.0,0.06,1.0,1,False,True,False,63,11,0.0,0.0,0.8058307111384705,2190,2327
0.0,0.5,10.0,0.06,1.0,3,False,True,False,24,11,0.0,0.0,0.7895420161736845,1549,1725
0.0,0.5,10.0,0.06,1.0,2,False,True,False,108,11,0.0,0.0,0.8260408634518838,2328,2420
0.0,0.5,10.0,0.06,1.0,4,False,True,False,86,11,0.0,0.0,0.8204778976750504,2119,2233
0.0,0.5,10.0,0.06,1.0,6,False,True,False,37,11,0.0,0.0,0.8006261797670116,1606,1769
0.0,0.5,10.0,0.06,1.0,5,False,True,False,54,11,0.0,0.0,0.8217061332434528,1678,1824
0.0,0.5,10.0,0.06,1.0,7,False,True,False,122,11,0.0,0.0,0.8192733264554137,1831,1909
0.0,0.5,10.0,0.06,1.0,9,False,True,False,62,11,0.0,0.0,0.7778229637135586,1595,1733
0.0,0.5,10.0,0.06,1.0,10,False,True,False,25,10,0.0,0.0,0.8005871951631001,1327,1502
0.0,0.5,10.0,0.06,1.0,8,False,True,False,123,11,0.0,0.0,0.8258458125606308,2478,2555
0.0,0.5,10.0,0.06,1.0,11,False,True,False,41,10,0.0,0.0,0.812981279132557,1183,1342
0.0,0.5,10.0,0.06,1.0,13,False,True,False,118,11,0.0,0.0,0.7894466196184758,1690,1772
0.0,0.5,10.0,0.06,1.0,12,False,True,False,102,11,0.0,0.0,0.8012697736518092,2132,2230
0.0,0.5,10.0,0.06,1.0,14,False,True,False,29,10,0.0,0.0,0.7853903147044777,1418,1589
0.0,0.5,10.0,0.063,1.0,0,False,True,False,63,11,0.0,0.0,0.8319033053332779,2284,2421
0.0,0.5,10.0,0.063,1.0,1,False,True,False,129,11,0.0,0.0,0.8089826574713939,2462,2533
0.0,0.5,10.0,0.063,1.0,2,False,True,False,127,11,0.0,0.0,0.8451496458257488,2489,2562
0.0,0.5,10.0,0.063,1.0,4,False,True,False,111,11,0.0,0.0,0.8058098206068773,2244,2333
