reproduction_rate,alpha,successor_capability,phi,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.062,0.1,9.0,10.0,False,True,False,174,15,4.807427850771311,85.86666193908758,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,173,15,4.8235743919491405,83.55643001169054,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,107,14,2.935854559896789,54.944753377603924,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,70,15,4.806900383386431,84.33955949592941,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,62,15,4.80805261839517,82.80368113142603,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,114,15,4.780917321062604,82.76629168938331,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,117,15,4.827798988923162,85.47542879923232,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,65,14,2.938094029487388,54.667012483272345,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,173,15,4.787752549415971,84.26175524510292,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,138,15,4.814441663921862,83.52298951804798,0.0,0.0
0.062,0.1,9.0,10.0,True,False,False,210,15,4.824904794920818,84.86536812189414,6.786796000393224,0.07957898952067685
0.062,0.1,9.0,10.0,False,True,False,179,15,4.799438607244268,85.36440435628478,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,182,15,4.817440826079151,84.13518474690149,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,156,15,4.809234265618295,84.58516969751807,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,142,15,4.754828302700543,81.2528796166362,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,217,15,4.828610282251523,84.2040396922901,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,63,15,4.8659402218175805,85.09726261623403,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,56,15,4.763711221783983,83.67432457090855,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,143,15,4.790458013758504,83.9066344600206,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,165,15,4.808088747296381,84.68259127593983,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,172,15,4.793405762720501,84.69392039193953,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,99,15,4.849141071629783,83.71351577954779,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,109,15,4.8174311991084675,85.09727264258517,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,145,15,4.730931562214393,82.94464450258818,0.0,0.0
0.062,0.1,9.0,10.0,True,False,False,194,15,4.815278799391694,85.58651119948807,5.933183795118258,0.06890803006254714
0.062,0.1,9.0,10.0,False,True,False,109,15,4.8079295446537405,84.79980624732963,0.0,0.0
0.062,0.1,9.0,10.0,False,True,False,111,15,4.806803914060871,84.66909723370154,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,120,14,4.204899033586631,77.2311833704608,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,144,14,4.168164166778477,73.64018256497131,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,145,14,4.16377062321288,74.18523177805223,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,156,14,4.169028092870814,77.08730354676271,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,111,14,4.16985803833328,73.91069114376079,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,168,14,4.165960748874514,73.78129418514787,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,104,14,4.2180095869103145,74.59420023242677,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,117,14,4.166337549870483,74.66993607847573,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,92,14,4.20186759852154,74.30829708591536,0.0,0.0
0.062,0.1,12.0,10.0,True,False,False,305,14,4.191855176910312,75.42846939253747,9.112273231976364,0.10864965298988952
0.062,0.1,12.0,10.0,False,True,False,161,14,4.197186949457109,76.26376039901885,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,124,14,4.191566193760658,73.61109389954864,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,111,14,4.18463723266814,75.5490214882657,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,167,14,4.194699584859636,74.19675096313534,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,161,14,4.184912525657056,74.74773956297184,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,151,14,4.162881443143529,73.96589767618286,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,150,14,4.2211075873832105,76.1144532587279,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,151,14,4.198338324295675,76.59284072934469,0.0,0.0
