phi,shock_magnitude,wb_repro_floor,wb_repro_threshold,shock_step,reproduction_rate,alpha,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,final_avg_well_being,pre_shock_avg_well_being,post_shock_avg_well_being,recovery_avg_well_being_step_150,recovery_avg_well_being_step_200,shock_deaths,total_births_post_shock,total_deaths_post_shock
1.0,0.4,0.5,0.5,100,0.066,1.0,11,False,True,False,87,10,0.0,0.0,0.8109204300672286,0.784503377890277,0.4003956673049985,0.826637693927135,0.8180076334944656,16,903,1006
1.0,0.4,0.5,0.5,100,0.066,1.0,10,False,True,False,129,10,0.0,0.0,0.781434625255603,0.823456639738735,0.4204193345581647,0.7927049907230111,0.7961607603655115,18,1339,1426
1.0,0.4,0.5,0.5,100,0.066,1.0,9,False,True,False,177,10,0.0,0.0,0.7873674828268874,0.8088182353752428,0.4085779669202659,0.7935528250374447,0.8381777953285394,24,1602,1704
1.0,0.4,0.5,0.5,100,0.066,1.0,13,False,True,False,128,10,0.0,0.0,0.8341817084668939,0.8081056968210384,0.4086106586695577,0.8079265724255015,0.7960377400963812,25,1325,1491
1.0,0.4,0.5,0.5,100,0.066,1.0,12,False,True,False,189,10,0.0,0.0,0.8053545717719677,0.8115900468626689,0.4111107151015734,0.7948621784016414,0.8157093550086337,34,1526,1728
1.0,0.4,0.5,0.5,100,0.066,1.0,14,True,False,False,260,10,1.1411351154882914,0.09002891574219243,0.7872796526943665,0.8195203784793234,0.41524327081852325,0.7911904873336548,0.7986071574385984,24,1579,1603
1.0,0.6,0.0,0.5,100,0.066,1.0,0,False,True,False,100,10,0.0,0.0,0.8275661626847391,0.7981748745798515,0.2086324882559251,0.8134522969907989,0.7861962003638041,27,991,1101
1.0,0.6,0.0,0.5,100,0.066,1.0,2,False,True,False,84,10,0.0,0.0,0.8066745088383336,0.8091086482578539,0.2187737419253717,0.7874782255967916,0.8221926471867806,27,871,989
1.0,0.6,0.0,0.5,100,0.066,1.0,3,False,True,False,61,10,0.0,0.0,0.7875522404319744,0.7927376582811574,0.2041023149908343,0.7989371080543846,0.7860678213530067,34,1093,1284
1.0,0.6,0.0,0.5,100,0.066,1.0,1,False,True,False,115,10,0.0,0.0,0.8162163680715875,0.8118776962945856,0.22556154128984687,0.7927603668276679,0.8019699945062095,27,1018,1104
