rr,phi,alpha,seed,successor_cap,termination_reason,steps_run,population_final,ai_generation_final,L_t_final,U_sys_final,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate
0.05,5.0,2.0,1,5.0,extinction,161,0,26,0.0009000000000000001,0.6190657408357989,7364.78734252667,60.55684402959069,7425.344186556261
0.05,5.0,2.0,1,10.0,extinction,161,0,33,0.0001,0.6071805770659278,15178.873844034415,60.56805992424902,15239.441903958665
0.05,5.0,1.0,4,100.0,extinction,280,0,6,0.0009000000000000001,0.1977240969256152,21906.18405413065,18.422679638572323,21924.606733769222
0.05,5.0,2.0,0,5.0,extinction,277,0,29,0.0009000000000000001,0.20333463815129182,8139.27665853813,18.983733761139984,8158.260392299269
0.05,5.0,1.0,4,50.0,extinction,330,0,18,0.0001,0.11326056480632499,36377.73352880825,11.176057782992837,36388.90958659124
0.05,5.0,2.0,0,50.0,extinction,262,0,6,0.0009000000000000001,0.23405681992518623,19790.084547639017,22.05595193852942,19812.140499577545
0.05,5.0,2.0,0,100.0,extinction,277,0,1,0.0009000000000000001,0.20333463815129182,1024.0921121224976,18.983733761139984,1043.0758458836376
0.05,5.0,2.0,1,100.0,extinction,161,0,1,0.0009000000000000001,0.6190657408357989,895.5994089203623,60.55684402959069,956.156252949953
0.05,5.0,2.0,1,50.0,extinction,250,0,8,0.0009000000000000001,0.2621774642326714,29215.619719474565,24.868016369277942,29240.487735843843
0.05,5.0,2.0,2,50.0,extinction,415,0,9,0.0009000000000000001,0.06125630325288451,23614.611069564966,4.775900271299249,23619.386969836265
0.05,5.0,2.0,0,25.0,extinction,533,0,59,0.0009000000000000001,0.028172626650388347,45942.57434288581,1.4675326110496327,45944.04187549686
0.05,5.0,2.0,2,5.0,extinction,320,0,34,0.0009000000000000001,0.13698821517416837,9067.837307250666,12.349091463427635,9080.186398714093
0.05,5.0,2.0,3,5.0,extinction,268,0,31,0.0009000000000000001,0.2212124334413497,8275.415329118765,20.77151329014577,8296.18684240891
0.05,5.0,2.0,2,10.0,extinction,320,0,43,0.00021497263167428703,0.12673615787606426,18681.95244464405,12.35116713010704,18694.303611774154
