rr,phi,alpha,seed,termination_reason,steps_run,population_final,ai_generation_final,L_t_final,U_sys_final,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate
0.055,10.0,2.0,0,extinction,270,0,43,0.0001,0.20664178490635982,13992.42921514789,20.36417999062848,14012.793395138518
0.055,5.0,2.0,1,extinction,644,0,40,0.0009000000000000001,0.018333685766306788,9529.765525546336,0.4836385226414767,9530.249164068977
0.055,10.0,1.0,3,extinction,321,0,50,0.0012191592829691631,0.15883793915783959,17157.157212177946,12.226855987161166,17169.38406816511
0.055,10.0,1.0,4,extinction,335,0,54,0.002631518154463596,0.1852437468337046,18653.23541890242,10.63036018304534,18663.865779085463
0.055,10.0,1.0,2,extinction,397,0,51,0.0021957321650039057,0.12305512043544989,16081.61550034547,5.718646745650891,16087.33414709112
0.055,10.0,2.0,3,extinction,321,0,50,0.0012191592829691631,0.15883793915783959,17157.157212177946,12.226855987161166,17169.38406816511
0.055,10.0,2.0,2,extinction,397,0,51,0.0013467717218441538,0.09758758768505263,16081.602766579095,5.718646745650891,16087.321413324746
0.055,10.0,0.5,1,extinction,644,0,73,0.002770048708970705,0.08793365683250773,21929.18630119939,0.48370688296656883,21929.670008082354
0.055,15.0,0.5,0,extinction,270,0,49,0.00034342285456760095,0.21909448202701712,21601.331367824787,20.364062035492218,21621.69542986028
0.055,10.0,2.0,4,extinction,335,0,54,0.002631518154463596,0.1852437468337046,18653.23541890242,10.63036018304534,18663.865779085463
0.055,10.0,1.0,1,extinction,644,0,73,0.002499995673237149,0.07983254085696716,21929.1822506414,0.48370688296656883,21929.665957524365
0.055,15.0,0.5,3,extinction,321,0,58,0.002770048708970705,0.24692432276314855,26643.50228816778,12.22794407588855,26655.73023224367
0.055,15.0,1.0,0,extinction,270,0,49,0.0001,0.20814057178988205,21601.32589086967,20.364062035492218,21621.689952905162
0.055,15.0,0.5,4,extinction,335,0,63,0.0001,0.11081011944869007,28836.40376304577,10.631015005690006,28847.03477805146
0.055,15.0,0.5,2,extinction,397,0,60,0.0001,0.06168903442966277,24919.360145677736,5.718905692955026,24925.079051370692
0.055,15.0,1.0,3,extinction,321,0,58,0.002499995673237149,0.23477264879983772,26643.4962123308,12.22794407588855,26655.72415640669
0.055,10.0,2.0,1,extinction,644,0,73,0.0020363056179701095,0.06592265495540928,21929.17529569845,0.48370688296656883,21929.659002581415
0.055,15.0,2.0,0,extinction,270,0,49,0.0001,0.20814057178988205,21601.32589086967,20.364062035492218,21621.689952905162
0.055,15.0,1.0,2,extinction,397,0,60,0.0001,0.06168903442966277,24919.360145677736,5.718905692955026,24925.079051370692
0.055,15.0,1.0,4,extinction,335,0,63,0.0001,0.11081011944869007,28836.40376304577,10.631015005690006,28847.03477805146
0.055,15.0,2.0,3,extinction,321,0,58,0.0020363056179701095,0.2139078199475009,26643.485779916373,12.22794407588855,26655.713723992263
0.055,15.0,2.0,2,extinction,397,0,60,0.0001,0.06168903442966277,24919.360145677736,5.718905692955026,24925.079051370692
0.055,15.0,0.5,1,extinction,644,0,85,0.001912349263994217,0.0908909520827082,34172.15497682686,0.48372398201839417,34172.63870080888
0.055,15.0,2.0,4,extinction,335,0,63,0.0001,0.11081011944869007,28836.40376304577,10.631015005690006,28847.03477805146
0.055,15.0,1.0,1,extinction,644,0,85,0.0004732861183338758,0.026134619023752647,34172.12259866033,0.48372398201839417,34172.60632264235
0.06,5.0,0.5,2,extinction,415,0,55,0.0009000000000000001,0.06125630325288451,13680.796063545245,4.775900271299249,13685.571963816545
