dependency_rate,capture_strength,rotation_interval,defense_active,defense_mode,seed,survived,collapsed,extinct,final_population,final_ai_generation,avg_validator_dependency,max_validator_dependency,yield_condition_met_count,yield_condition_blocked_count,capture_rate,final_avg_U_sys,final_avg_L_t
0.02,0.7,20,True,monitoring_only,179006517,True,False,False,530,190,0.45000000000000007,0.5800000000000002,272,83,0.30514705882352944,2.2614236023675463e+35,4.5228517519795455e+33
0.02,0.7,20,True,monitoring_only,1691726586,True,False,False,497,190,0.45000000000000007,0.5800000000000002,264,75,0.2840909090909091,2.0454586012047996e+35,4.090921315886746e+33
0.02,0.7,20,True,monitoring_only,771838205,True,False,False,474,199,0.45000000000000007,0.5800000000000002,280,82,0.29285714285714287,9.30012829711707e+36,1.860027529375148e+35
0.02,0.7,20,True,monitoring_only,1261429324,True,False,False,473,188,0.45000000000000007,0.5800000000000002,250,63,0.252,9.336409261486967e+34,1.867283732599861e+33
0.02,0.7,20,True,monitoring_only,1746908072,True,False,False,514,202,0.45000000000000007,0.5800000000000002,284,83,0.29225352112676056,2.6625153081197715e+37,5.325035971133773e+35
0.02,0.7,20,True,monitoring_only,401040259,True,False,False,535,215,0.45000000000000007,0.5800000000000002,284,70,0.24647887323943662,6.382108197216426e+39,1.2764229222629127e+38
0.02,0.7,20,True,monitoring_only,1264022216,True,False,False,458,207,0.45000000000000007,0.5800000000000002,277,71,0.2563176895306859,1.8492908807215994e+38,3.6985854861988054e+36
0.02,0.7,20,True,monitoring_only,1869279083,True,False,False,577,222,0.45000000000000007,0.5800000000000002,288,67,0.2326388888888889,9.592528086233082e+40,1.9185075453804803e+39
0.02,0.7,20,True,monitoring_only,550055663,True,False,False,518,193,0.45000000000000007,0.5800000000000002,257,65,0.2529182879377432,8.203441514725018e+35,1.6406899522302334e+34
0.02,0.7,20,True,monitoring_only,873015535,True,False,False,490,200,0.45000000000000007,0.5800000000000002,270,71,0.26296296296296295,1.3884290064834307e+37,2.7768608081558052e+35
0.02,0.7,20,True,monitoring_only,508584303,True,False,False,515,186,0.45000000000000007,0.5800000000000002,267,82,0.30711610486891383,4.901942185787658e+34,9.80389423245912e+32
0.02,0.7,20,True,monitoring_only,1805862061,True,False,False,450,191,0.45000000000000007,0.5800000000000002,259,69,0.26640926640926643,3.2016435796228025e+35,6.403293597415829e+33
