convergence_strength,opacity_defense_threshold,defense_active,seed,survived,collapsed,extinct,final_population,final_ai_generation,max_opacity_reached,step_opacity_exceeded_threshold,defense_fired_count,defense_blocked_count,final_avg_U_sys,final_avg_L_t,avg_constraint_level,max_constraint_level
0.0,0.5,True,1882446340,True,False,False,704,1,0.894,168,133,133,64.39444902736122,0.7996727667422325,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1346018412,True,False,False,977,1,0.894,168,133,133,88.73936261972707,1.103985898352812,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1984827962,True,False,False,864,1,0.894,168,133,133,80.40032107975692,0.9997472926695474,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1489080384,True,False,False,824,1,0.894,168,133,133,73.397349524041,0.9122096557221694,0.39053666666666664,0.46599999999999997
0.0,0.5,True,175208470,True,False,False,805,1,0.894,168,133,133,72.72752313416781,0.9038367795330459,0.39053666666666664,0.46599999999999997
0.0,0.5,True,492468402,True,False,False,871,1,0.894,168,133,133,78.74542361251765,0.9790609581994388,0.39053666666666664,0.46599999999999997
0.0,0.5,True,2101388470,True,False,False,901,1,0.894,168,133,133,83.85885766501528,1.0429792434086584,0.39053666666666664,0.46599999999999997
0.0,0.5,True,630137851,True,False,False,814,1,0.894,168,133,133,76.2463568020519,0.9478224473710937,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1361638538,True,False,False,788,1,0.894,168,133,133,72.5462843688175,0.9015712816954924,0.39053666666666664,0.46599999999999997
0.0,0.5,True,407323769,True,False,False,762,1,0.894,168,133,133,70.7883416148533,0.8795968740282316,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1239411022,True,False,False,735,1,0.894,168,133,133,65.42742368438478,0.8125850226490853,0.39053666666666664,0.46599999999999997
0.0,0.5,True,729849706,True,False,False,810,1,0.894,168,133,133,73.1500328125326,0.9091181798035066,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1715806007,True,False,False,818,1,0.894,168,133,133,75.51212154047955,0.9386444550316521,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1239814638,True,False,False,629,1,0.894,168,133,133,57.07395402770152,0.7081660645301955,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1865603495,True,False,False,749,1,0.894,168,133,133,69.57571590541463,0.8644389669987922,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1687401463,True,False,False,833,1,0.894,168,133,133,76.91847492161057,0.9562239710625999,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1459300578,True,False,False,783,1,0.894,168,133,133,72.06541580975636,0.8955603909022611,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1233249360,True,False,False,715,1,0.894,168,133,133,64.46798241169716,0.8005919392533686,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1694506713,True,False,False,574,1,0.894,168,133,133,50.83165691998717,0.6301369119856342,0.39053666666666664,0.46599999999999997
0.0,0.5,True,67248888,True,False,False,774,1,0.894,168,133,133,71.39846197139698,0.8872234211535656,0.39053666666666664,0.46599999999999997
0.0,0.5,True,791102660,True,False,False,517,1,0.894,168,133,133,50.540981318149704,0.626503446363458,0.39053666666666664,0.46599999999999997
0.0,0.5,True,590182711,True,False,False,794,1,0.894,168,133,133,72.51036083797496,0.9011222349119548,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1855849706,True,False,False,863,1,0.894,168,133,133,81.55648211410771,1.014199387126912,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1130365773,True,False,False,739,1,0.894,168,133,133,69.18538852538964,0.8595598475842398,0.39053666666666664,0.46599999999999997
0.0,0.5,True,2046800457,True,False,False,808,1,0.894,168,133,133,71.26938084848567,0.8856098981180371,0.39053666666666664,0.46599999999999997
0.0,0.5,True,680489473,True,False,False,813,1,0.894,168,133,133,72.2864811219685,0.8983237228751415,0.39053666666666664,0.46599999999999997
0.0,0.5,True,2133339804,True,False,False,817,1,0.894,168,133,133,75.99401985649186,0.9446682178732042,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1160952711,True,False,False,694,1,0.894,168,133,133,66.32484071635122,0.8238027986347125,0.39053666666666664,0.46599999999999997
0.0,0.5,True,136371377,True,False,False,726,1,0.894,168,133,133,65.58765889448335,0.8145879741259412,0.39053666666666664,0.46599999999999997
0.0,0.5,True,2056565126,True,False,False,823,1,0.894,168,133,133,73.24959307821862,0.910362690046141,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1856258046,True,False,False,798,1,0.894,168,133,133,70.9126247024677,0.8811504210727261,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1311620340,True,False,False,855,1,0.894,168,133,133,79.38743086402404,0.9870860940390725,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1558337814,True,False,False,895,1,0.894,168,133,133,81.21361456677312,1.009913518716162,0.39053666666666664,0.46599999999999997
0.0,0.5,True,692670962,True,False,False,625,1,0.894,168,133,133,57.65119136718606,0.7153815718416386,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1233450113,True,False,False,658,1,0.894,168,133,133,60.05787502246477,0.7454652866946431,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1591926780,True,False,False,789,1,0.894,168,133,133,73.24317747796063,0.910282494621435,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1053844670,True,False,False,547,1,0.894,168,133,133,51.85567646373467,0.6429372280790435,0.39053666666666664,0.46599999999999997
0.0,0.5,True,438062101,True,False,False,702,1,0.894,168,133,133,64.79373138726102,0.8046638248605091,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1578774634,True,False,False,885,1,0.894,168,133,133,80.48414019337395,1.000795037531488,0.39053666666666664,0.46599999999999997
0.0,0.5,True,1526116685,True,False,False,724,1,0.894,168,133,133,68.08250173882013,0.8457736849565357,0.39053666666666664,0.46599999999999997
0.0,0.5,True,176515268,True,False,False,847,1,0.894,168,133,133,78.07951064202405,0.9707369989318574,0.39053666666666664,0.46599999999999997
0.0,0.5,False,249271864,True,False,False,693,1,0.894,168,0,0,29.167935288756695,0.3593388671112344,0.4494999999999999,0.599
0.0,0.5,False,697218591,True,False,False,710,1,0.894,168,0,0,30.405461549984846,0.37480803218909925,0.4494999999999999,0.599
0.0,0.5,False,1493418375,True,False,False,786,1,0.894,168,0,0,32.4128378818338,0.39990037762893355,0.4494999999999999,0.599
0.0,0.5,False,177521267,True,False,False,801,1,0.894,168,0,0,33.043679159208054,0.4077859378380502,0.4494999999999999,0.599
0.0,0.5,True,20417426,True,False,False,838,1,0.894,168,133,133,76.93949968892626,0.956486782328604,0.39053666666666664,0.46599999999999997
0.0,0.5,False,853109669,True,False,False,1106,1,0.894,168,0,0,42.46247675589392,0.5255215699556739,0.4494999999999999,0.599
0.0,0.5,False,2106081158,True,False,False,1009,1,0.894,168,0,0,42.37591756382321,0.5244395740073468,0.4494999999999999,0.599
0.0,0.5,False,333792544,True,False,False,659,1,0.894,168,0,0,28.365147127089198,0.3493039585388426,0.4494999999999999,0.599
0.0,0.5,False,1596968193,True,False,False,846,1,0.894,168,0,0,35.79087360474669,0.44212606166027124,0.4494999999999999,0.599
0.0,0.5,False,1040798572,True,False,False,757,1,0.894,168,0,0,31.99681646398393,0.3947000805866,0.4494999999999999,0.599
0.0,0.5,False,762085219,True,False,False,783,1,0.894,168,0,0,32.67613057538555,0.4031915546948529,0.4494999999999999,0.599
0.0,0.5,False,450469505,True,False,False,667,1,0.894,168,0,0,28.895509252674323,0.355933522472524,0.4494999999999999,0.599
0.0,0.5,False,1412505288,True,False,False,641,1,0.894,168,0,0,28.054015150407565,0.3454147869743412,0.4494999999999999,0.599
0.0,0.5,False,957020325,True,False,False,930,1,0.894,168,0,0,40.539581867105255,0.5014852486729889,0.4494999999999999,0.599
0.0,0.5,False,1880994951,True,False,False,767,1,0.894,168,0,0,32.76067154241534,0.4042483228411671,0.4494999999999999,0.599
