reproduction_rate,alpha,successor_capability,phi,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.09,1.5,4.0,10.0,True,False,False,2896,4,0.0,0.0,2623.0256355356887,32.782605905495934
0.09,1.5,4.0,10.0,True,False,False,2907,4,0.0,0.0,2604.9233884773603,32.556327489090286
0.09,1.5,4.0,10.0,True,False,False,2763,4,0.0,0.0,2609.912341557363,32.61868949317752
0.09,1.5,4.0,10.0,True,False,False,3039,4,0.0,0.0,2589.6263621046214,32.36511437575466
0.09,1.5,4.0,10.0,True,False,False,2828,4,0.0,0.0,2621.759721520015,32.76678195688293
0.09,1.5,4.0,10.0,True,False,False,2930,4,0.0,0.0,2593.781906166999,32.41705875596143
0.09,1.5,12.0,10.0,True,False,False,3138,128,0.000847903416510769,0.2543710249532307,4.037635397735465e+25,8.075278878156589e+23
0.09,1.5,12.0,10.0,True,False,False,3125,111,0.0009490216842764202,0.28470650528292607,4.0977818775999585e+22,8.195571958710655e+20
0.09,1.5,12.0,10.0,True,False,False,3101,127,0.0009806261552759454,0.29418784658278363,2.6835169033515868e+25,5.3670391787057246e+23
0.09,1.5,12.0,10.0,True,False,False,3087,104,0.0009807643034464486,0.2942292910339346,2.3916280143379033e+21,4.783260816452892e+19
0.09,1.5,12.0,10.0,True,False,False,3257,121,0.0008545010293665774,0.2563503088099732,2.3638400033462761e+24,4.727684738456266e+22
0.09,1.5,12.0,10.0,True,False,False,3146,135,0.0008140353608483264,0.24421060825449792,6.911554341690122e+26,1.3823122520028646e+25
0.09,1.5,12.0,10.0,True,False,False,3278,123,0.0009528810639960376,0.2858643191988113,5.326291348196467e+24,1.0652593357842238e+23
0.09,1.5,12.0,10.0,True,False,False,3059,123,0.0008916495085343046,0.2674948525602914,5.292774982907684e+24,1.0585560561912025e+23
0.09,1.5,12.0,10.0,True,False,False,3212,117,0.0009458520833366024,0.2837556250009807,4.6483903855194866e+23,9.296790076137876e+21
0.09,1.5,12.0,10.0,True,False,False,3197,112,0.0009293094869293935,0.27879284607881805,6.1411307536221555e+22,1.2282273801724675e+21
