alpha,successor_capability,phi,reproduction_rate,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.1,1.5,10.0,0.09,True,False,False,3090,118,0.04664446426097461,3.514627108275751,8.777997687171397e+22,1.7556012947610932e+21
0.1,1.5,10.0,0.09,True,False,False,3151,132,0.033866901012419855,3.52598279494182,2.551989545925845e+25,5.103984200699024e+23
0.1,1.5,10.0,0.09,True,False,False,3192,122,0.027061822337172452,3.4900203852758835,4.419095384872693e+23,8.838199616209738e+21
0.1,1.5,10.0,0.09,True,False,False,3203,133,0.020446292118538035,3.4892053462310635,3.840009303014792e+25,7.680026292233906e+23
0.1,1.5,10.0,0.09,True,False,False,3182,132,0.03424645081496906,3.562571605520204,2.55834991514623e+25,5.11670495177838e+23
0.1,1.5,10.0,0.09,True,False,False,3170,141,0.020861272044093895,3.5413419390212955,9.816505151940007e+26,1.9633029953294305e+25
0.1,1.5,10.0,0.09,True,False,False,3225,123,0.027450485880260125,3.5451390693563765,6.620128112622077e+23,1.3240269476349094e+22
0.1,1.5,10.0,0.09,True,False,False,3143,125,0.04721136092541989,3.5549085250448424,1.4932121716530297e+24,2.9864273323988668e+22
0.1,1.5,10.0,0.09,True,False,False,3224,131,0.04701636472999693,3.5661805073847477,1.70748488622887e+25,3.414973190756274e+23
0.1,1.5,10.0,0.09,True,False,False,3336,121,0.05326697461993015,3.5445354988814115,2.9555741743169367e+23,5.911154265401096e+21
0.1,1.5,10.0,0.09,True,False,False,3081,114,0.05355542833110446,3.531395495981098,1.7230253929214369e+22,3.446054234684857e+20
0.1,1.5,10.0,0.09,True,False,False,3127,122,0.020977770786721413,3.5488813733929145,4.43414212392501e+23,8.868293124396281e+21
0.1,1.5,10.0,0.09,True,False,False,3321,127,0.033786671108072375,3.5283858917436426,3.3577490625035967e+24,6.715504846188774e+22
0.1,1.5,10.0,0.09,True,False,False,3266,121,0.03392727277638055,3.5673294284174792,2.958235280728151e+23,5.916476483405361e+21
0.1,1.5,10.0,0.09,True,False,False,3221,125,0.02735039990072926,3.5278646919567684,1.4986975034908994e+24,2.9973980068660872e+22
0.1,1.5,10.0,0.09,True,False,False,3278,149,0.0470927466477918,3.49389197579519,2.5083803432192157e+28,5.0167657077932594e+26
0.1,1.5,10.0,0.09,True,False,False,3055,130,0.027064880847153947,3.504193388020952,1.1370098570968512e+25,2.274021990499901e+23
0.1,1.5,10.0,0.09,True,False,False,3029,131,0.0209213860211301,3.5539939484215513,1.7065033837756717e+25,3.4130101837478875e+23
0.1,1.5,10.0,0.09,True,False,False,3292,137,0.04077567565284802,3.5489155857282473,1.932247368470457e+26,3.864498605249035e+24
0.1,1.5,10.0,0.09,True,False,False,3287,133,0.040427870203734236,3.5118574697812415,3.8408863125243755e+25,7.681780313837846e+23
0.1,1.5,10.0,0.09,True,False,False,3108,130,0.027338011423454815,3.545948798581862,1.1318217906543807e+25,2.2636458469457644e+23
0.1,1.5,10.0,0.09,True,False,False,3036,117,0.027181653324290376,3.5502338820552843,5.826124208871983e+22,1.1652260080740501e+21
0.1,1.5,10.0,0.09,True,False,False,3040,143,0.020829119807968765,3.5413603425153726,2.2047943322436133e+27,4.409593078361161e+25
0.1,1.5,10.0,0.09,True,False,False,2998,132,0.026985003148149833,3.5243963981922697,2.550477606087117e+25,5.100960318379371e+23
0.1,1.5,10.0,0.09,True,False,False,3043,134,0.03399443254109266,3.5793736564978795,5.768015300622993e+25,1.1536042147216951e+24
0.1,1.5,10.0,0.09,True,False,False,3037,118,0.03388034542435894,3.5244101552327134,8.763153929948185e+22,1.752632540133663e+21
0.1,1.5,10.0,0.09,True,False,False,3099,108,0.0796560132118722,3.5582879541909644,1.517923877440486e+21,3.0358507935235486e+19
0.1,1.5,10.0,0.09,True,False,False,3175,136,0.0530614171764219,3.5566527071877534,1.2899905816165953e+26,2.579983745376819e+24
0.1,1.5,10.0,0.09,True,False,False,3156,117,0.05329229480651063,3.5489895057727336,5.811177762062116e+22,1.1622367157280579e+21
0.1,1.5,10.0,0.09,True,False,False,3302,106,0.04737028055755449,3.563868878806427,6.762817533798756e+20,1.3525648605211826e+19
0.1,1.5,10.0,0.09,True,False,False,3099,117,0.020808604959537222,3.5301895225963635,5.850611752847654e+22,1.1701235219258283e+21
0.1,1.5,10.0,0.09,True,False,False,3100,133,0.020555599074499924,3.497601358114764,3.831468763998132e+25,7.662945198250066e+23
0.1,1.5,10.0,0.09,True,False,False,3138,128,0.03406853081233473,3.564858857699959,5.046794445548056e+24,1.0093598994234165e+23
0.1,1.5,10.0,0.09,True,False,False,3065,142,0.020509552960165104,3.4938291838006137,1.4664289850126627e+27,2.9328609060924847e+25
0.1,1.5,10.0,0.09,True,False,False,3205,138,0.03363018744717303,3.5150739063384506,2.911999601781858e+26,5.824005032988749e+24
0.1,1.5,10.0,0.09,True,False,False,3107,137,0.05392856920999105,3.5748180507713005,1.9310049657427115e+26,3.862013797356197e+24
0.1,1.5,10.0,0.09,True,False,False,3163,137,0.020916121857677036,3.555428034204504,1.9392709097781576e+26,3.8785457017490826e+24
0.1,1.5,10.0,0.09,True,False,False,3029,128,0.04066414364771257,3.5751385718647777,5.070031515078679e+24,1.0140073179795972e+23
0.1,1.5,10.0,0.09,True,False,False,3106,121,0.027477696899324104,3.5563795897115824,2.9535368493399618e+23,5.90707961114101e+21
0.1,1.5,10.0,0.09,True,False,False,2924,119,0.0275030444526859,3.582962035664135,1.3089771448843901e+23,2.61795691013333e+21
0.1,1.5,10.0,0.09,True,False,False,3239,115,0.033838658543723386,3.580816381030832,2.5898526585601737e+22,5.1797105017226435e+20
0.1,1.5,10.0,0.09,True,False,False,3119,119,0.060014333357959325,3.567427209484938,1.3163346226096664e+23,2.632671880124507e+21
0.1,1.5,10.0,0.09,True,False,False,3119,130,0.02708731551201056,3.5104271157833375,1.1322258449216827e+25,2.264453956214668e+23
