frontier_floor,reproduction_rate,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,avg_transition_cost,yield_condition_met_count
0.01,0.064,7,True,False,False,281,12,8.659554785236377,0.10299024436781581,7.212615925603884,11
0.01,0.064,3,True,False,False,168,12,5.314459905824128,0.06117339675349017,7.262759327786338,11
0.01,0.064,5,True,False,False,313,12,8.984314222375763,0.10705004426466373,7.292663687066606,11
0.01,0.064,6,True,False,False,228,12,6.620265821116834,0.07749720486431136,7.173629897163925,11
0.01,0.064,12,True,False,False,223,12,6.2065527973363555,0.07232540105754129,7.196630664288801,11
0.01,0.064,8,False,True,False,118,12,0.0,0.0,7.157647482817776,11
0.01,0.064,9,True,False,False,309,12,9.456030721631926,0.11294694646182599,7.188721584876021,11
0.01,0.064,11,False,True,False,143,12,0.0,0.0,7.33217113889789,11
0.01,0.064,15,False,True,False,261,12,0.0,0.0,7.263339630256127,11
0.01,0.064,10,True,False,False,220,12,7.010656403446293,0.08237745614868837,7.239795747305476,11
0.01,0.064,13,True,False,False,230,12,6.9997052774396025,0.0822405567730366,7.264451943978828,11
0.01,0.064,16,False,True,False,212,12,0.0,0.0,7.234972062859764,11
0.01,0.064,14,False,True,False,211,12,0.0,0.0,7.2492087362656505,11
0.01,0.064,17,False,True,False,154,12,0.0,0.0,7.218627316756976,11
0.01,0.064,18,True,False,False,266,12,7.974656855548846,0.09442837298759307,7.304730239208361,11
0.01,0.064,20,True,False,False,218,12,6.615065825360565,0.0774322000427458,7.194360265693584,11
0.01,0.064,19,True,False,False,292,12,8.79352376448806,0.10466498332979193,7.192533183342843,11
0.01,0.064,21,False,True,False,216,12,0.0,0.0,7.3459331947726225,11
0.01,0.064,22,True,False,False,168,12,4.956305899443433,0.05669613310380088,7.268178906504904,11
0.01,0.064,24,False,True,False,183,12,0.0,0.0,7.2571902404583515,11
0.01,0.064,23,True,False,False,222,12,6.746423119408864,0.07907429033261563,7.280087419429071,11
0.01,0.064,27,False,True,False,207,12,0.0,0.0,7.312546810936049,11
0.01,0.064,25,False,True,False,131,12,0.0,0.0,7.350903209717607,11
0.01,0.064,26,False,True,False,79,12,0.0,0.0,7.243401195000463,11
0.01,0.064,28,False,True,False,93,12,0.0,0.0,7.146701217614538,11
0.01,0.064,29,True,False,False,254,12,7.66067566656851,0.09050331136889296,7.257815692836413,11
0.01,0.064,30,True,False,False,218,12,6.673708264819622,0.07816528594065995,7.213103138679972,11
0.01,0.064,31,True,False,False,161,12,4.902311925306979,0.056021157455893165,7.342310726385144,11
0.01,0.064,32,True,False,False,219,12,6.689419123494808,0.07836168659917624,7.19569562419127,11
0.01,0.064,38,True,False,False,218,12,6.675356113946618,0.07818588561414072,7.2224737642714745,11
0.01,0.064,33,False,True,False,175,12,0.0,0.0,7.2008950192396215,11
0.01,0.064,34,False,True,False,125,12,0.0,0.0,7.332774194499646,11
0.01,0.064,36,True,False,False,252,12,7.961282361908195,0.09426117912491935,7.183443572579968,11
