frontier_floor,reproduction_rate,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,avg_transition_cost,yield_condition_met_count
0.01,0.064,37,False,True,False,145,12,0.0,0.0,7.231269345088481,11
0.01,0.064,35,True,False,False,230,12,7.0281611415935075,0.08259628186125118,7.225697864245093,11
0.01,0.064,39,False,True,False,120,12,0.0,0.0,7.195684785612639,11
0.01,0.064,40,True,False,False,205,12,6.004568409262081,0.06980040532581025,7.3095073854020685,11
0.01,0.064,41,True,False,False,210,12,6.585322353522061,0.07706037850333375,7.256266516065071,11
0.01,0.064,42,False,True,False,134,12,0.0,0.0,7.23962030546828,11
0.01,0.064,47,False,True,False,159,12,0.0,0.0,7.2469673883502566,11
0.01,0.064,49,False,True,False,169,12,0.0,0.0,7.211284365761486,11
0.01,0.064,43,False,True,False,160,12,0.0,0.0,7.154791412931395,11
0.01,0.064,46,True,False,False,327,12,9.766444356289945,0.1168274102998698,7.288801749457337,11
0.01,0.064,44,False,True,False,165,12,0.0,0.0,7.2078796649704415,11
0.01,0.064,45,True,False,False,194,12,6.093338675626354,0.07091011748220709,7.325523376951184,11
0.01,0.064,48,False,True,False,103,12,0.0,0.0,7.29518059578894,11
0.01,0.066,0,True,False,False,362,12,10.424045395459792,0.1250480448925105,7.213346898092192,11
0.01,0.066,7,True,False,False,237,12,7.439040604862221,0.08773266353207386,7.210339587726938,11
0.01,0.066,4,True,False,False,236,12,6.881933434833748,0.08076829744191946,7.230692066932679,11
0.01,0.066,1,True,False,False,295,12,9.057721984470822,0.10796771078840794,7.296483092629567,11
0.01,0.066,2,True,False,False,276,12,8.106122084643511,0.09607181253715177,7.271632091672121,11
0.01,0.066,3,False,True,False,192,12,0.0,0.0,7.207527626334063,11
0.01,0.066,5,False,True,False,225,12,0.0,0.0,7.308142788323646,11
0.01,0.066,6,True,False,False,225,12,6.942972074527889,0.08153133804465347,7.232249437885485,11
0.01,0.066,8,True,False,False,325,12,9.688511975545135,0.11585318192847502,7.228733928481677,11
0.01,0.066,10,True,False,False,252,12,7.70744564948094,0.09108798025114623,7.205219492175556,11
0.01,0.066,9,False,True,False,234,12,0.0,0.0,7.295473595870511,11
0.01,0.066,13,False,True,False,140,12,0.0,0.0,7.352672126942022,11
0.01,0.066,11,True,False,False,376,12,11.719534214473533,0.1412428795054127,7.269395785764288,11
0.01,0.066,12,True,False,False,303,12,9.741825457336322,0.1165196507844202,7.188005918015218,11
0.01,0.066,14,True,False,False,264,12,7.9793609636887055,0.0944871787469022,7.2609114461268565,11
0.01,0.066,18,True,False,False,376,12,11.155232008271332,0.13418856865539203,7.263342742528826,11
0.01,0.066,19,True,False,False,330,12,9.512329607622867,0.1136507357602449,7.31826989172752,11
0.01,0.066,15,True,False,False,268,12,8.006074009885458,0.09482111702703262,7.24683640278758,11
0.01,0.066,16,True,False,False,246,12,7.141773894037004,0.08401654873405884,7.22209251852578,11
0.01,0.066,17,False,True,False,212,12,0.0,0.0,7.347394178526611,11
0.01,0.066,21,True,False,False,243,12,7.739939083241808,0.09149417899774923,7.2242556510463585,11
0.01,0.066,22,True,False,False,304,12,9.385180445644837,0.11206125106105189,7.228576949463014,11
0.01,0.066,20,True,False,False,333,12,9.981735941769314,0.11951875869984922,7.219952145249625,11
0.01,0.066,27,True,False,False,372,12,10.968882985036014,0.13185902974977504,7.204229288561007,11
0.01,0.066,23,True,False,False,246,12,7.255472411713237,0.08543788758584006,7.192616717657478,11
0.01,0.066,24,True,False,False,268,12,8.421132138539825,0.10000973594002431,7.236610780968075,11
0.01,0.066,26,True,False,False,350,12,10.83325013855777,0.13016349091234808,7.347383358156122,11
0.01,0.066,28,True,False,False,353,12,10.781317595772661,0.12951428502973045,7.282807223035125,11
0.01,0.066,25,True,False,False,377,12,11.773450223175306,0.14191688063882796,7.184468619528882,11
0.01,0.066,29,True,False,False,371,12,11.163536970841056,0.13429238853736714,7.305861046697914,11
0.01,0.066,30,True,False,False,398,12,11.71376750260986,0.14117079028955137,7.258488397422029,11
0.01,0.066,31,True,False,False,336,12,10.041878798680463,0.12027060118962862,7.218020927469212,11
0.01,0.066,32,False,True,False,231,12,0.0,0.0,7.291065690980816,11
0.01,0.066,33,True,False,False,289,12,8.346878498983184,0.09908149529689524,7.391225202548245,11
0.01,0.066,34,True,False,False,481,12,14.706922557613481,0.1785880575718395,7.354457705971994,11
