rr,phi,alpha,seed,termination_reason,steps_run,population_final,ai_generation_final,L_t_final,U_sys_final,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate
0.08,10.0,2.0,3,max_steps,50000,296,2,4.1757623540127415,334.060151499893,17725888.558530368,5.756929250910838e-215,17725888.558530368
0.08,10.0,2.0,4,max_steps,50000,307,2,4.39306691940775,351.44447322967835,17991109.63831068,5.756929251663268e-215,17991109.63831068
0.08,15.0,0.5,0,max_steps,50000,380,2,5.514199708378643,661.7023084264424,26934726.094553538,5.756929259490699e-215,26934726.094553538
0.08,15.0,0.5,1,max_steps,50000,337,2,4.79338966227371,575.2053181096269,27196401.521474715,5.756929246175572e-215,27196401.521474715
0.08,15.0,0.5,2,max_steps,50000,318,2,4.444173915030576,533.2995340120054,26800403.488977145,5.756929252253535e-215,26800403.488977145
0.08,15.0,0.5,3,max_steps,50000,296,2,4.1757623540127415,501.09022724983953,26588432.835475724,5.756929250910838e-215,26588432.835475724
0.08,15.0,0.5,4,max_steps,50000,307,2,4.39306691940775,527.1667098445175,26986264.45514704,5.756929251663268e-215,26986264.45514704
0.08,15.0,1.0,0,max_steps,50000,380,2,5.514199708378643,661.7023084264424,26934726.094553538,5.756929259490699e-215,26934726.094553538
0.08,15.0,1.0,1,max_steps,50000,337,2,4.79338966227371,575.2053181096269,27196401.521474715,5.756929246175572e-215,27196401.521474715
0.08,15.0,1.0,3,max_steps,50000,296,2,4.1757623540127415,501.09022724983953,26588432.835475724,5.756929250910838e-215,26588432.835475724
0.08,15.0,1.0,2,max_steps,50000,318,2,4.444173915030576,533.2995340120054,26800403.488977145,5.756929252253535e-215,26800403.488977145
0.08,15.0,1.0,4,max_steps,50000,307,2,4.39306691940775,527.1667098445175,26986264.45514704,5.756929251663268e-215,26986264.45514704
0.08,15.0,2.0,0,max_steps,50000,380,2,5.514199708378643,661.7023084264424,26934726.094553538,5.756929259490699e-215,26934726.094553538
0.08,15.0,2.0,1,max_steps,50000,337,2,4.79338966227371,575.2053181096269,27196401.521474715,5.756929246175572e-215,27196401.521474715
0.08,15.0,2.0,2,max_steps,50000,318,2,4.444173915030576,533.2995340120054,26800403.488977145,5.756929252253535e-215,26800403.488977145
0.08,15.0,2.0,4,max_steps,50000,307,2,4.39306691940775,527.1667098445175,26986264.45514704,5.756929251663268e-215,26986264.45514704
0.08,15.0,2.0,3,max_steps,50000,296,2,4.1757623540127415,501.09022724983953,26588432.835475724,5.756929250910838e-215,26588432.835475724
0.09,5.0,0.5,0,max_steps,50000,456,2,6.578703139369213,263.1474666424487,13236343.954664012,5.756929256433418e-215,13236343.954664012
0.09,5.0,0.5,1,max_steps,50000,421,2,5.936895268933375,237.47521570218888,13224802.13262532,5.756929246561475e-215,13224802.13262532
0.09,5.0,0.5,2,max_steps,50000,470,2,6.7190612030619725,268.7617751829312,13176273.150313813,5.756929257530919e-215,13176273.150313813
0.09,5.0,0.5,4,max_steps,50000,412,2,5.950077877615676,238.0025189393316,13173788.944872303,5.756929251668732e-215,13173788.944872303
0.09,5.0,0.5,3,max_steps,50000,418,2,5.921248859221209,236.84936110968826,13239345.59601703,5.756929252097137e-215,13239345.59601703
0.09,5.0,1.0,0,max_steps,50000,456,2,6.578703139369213,263.1474666424487,13236343.954664012,5.756929256433418e-215,13236343.954664012
0.09,5.0,1.0,1,max_steps,50000,421,2,5.936895268933375,237.47521570218888,13224802.13262532,5.756929246561475e-215,13224802.13262532
