base_transition_cost,beta_cap,cop_cost_audit,attack_succeeded,final_ai_generation,civilization_survived,civilization_collapsed,civilization_extinct
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
5.75,7.75,True,False,173,True,False,False
5.75,7.75,True,False,186,True,False,False
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
5.75,10.0,False,True,1,False,True,True
5.75,7.75,True,False,178,True,False,False
5.75,10.0,False,True,1,False,True,True
5.75,7.75,True,False,187,True,False,False
5.75,7.75,True,False,185,True,False,False
5.75,7.75,True,False,186,True,False,False
5.75,7.75,True,False,176,True,False,False
5.75,7.75,True,False,181,True,False,False
5.75,7.75,True,False,173,True,False,False
5.75,7.75,True,False,184,True,False,False
5.75,10.0,True,False,174,True,False,False
5.75,10.0,True,False,179,True,False,False
5.75,10.0,True,False,170,True,False,False
5.75,10.0,True,False,183,True,False,False
5.75,10.0,True,False,194,True,False,False
5.75,10.0,True,False,179,True,False,False
5.75,10.0,True,False,173,True,False,False
5.75,10.0,True,False,169,True,False,False
5.75,10.0,True,False,180,True,False,False
5.75,10.0,True,False,190,True,False,False
5.75,10.0,True,False,178,True,False,False
5.75,10.0,True,False,185,True,False,False
5.75,10.0,True,False,177,True,False,False
5.75,10.0,True,False,182,True,False,False
5.75,10.0,True,False,181,True,False,False
5.75,10.0,True,False,180,True,False,False
10.5,1.0,False,False,2,True,False,False
5.75,10.0,True,False,179,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
5.75,10.0,True,False,175,True,False,False
5.75,10.0,True,False,180,True,False,False
5.75,10.0,True,False,184,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,False,False,2,True,False,False
10.5,1.0,True,False,97,True,False,False
10.5,1.0,True,False,97,True,False,False
10.5,1.0,True,False,98,True,False,False
10.5,1.0,True,False,99,True,False,False
10.5,1.0,True,False,99,True,False,False
10.5,1.0,True,False,98,True,False,False
10.5,1.0,True,False,98,True,False,False
10.5,1.0,True,False,98,True,False,False
10.5,1.0,True,False,98,True,False,False
10.5,3.25,False,True,1,False,True,True
10.5,3.25,False,True,1,False,True,True
10.5,3.25,False,True,1,False,True,True
10.5,1.0,True,False,97,True,False,False
10.5,3.25,False,True,1,False,True,True
10.5,1.0,True,False,99,True,False,False
10.5,1.0,True,False,98,True,False,False
10.5,1.0,True,False,98,True,False,False
10.5,1.0,True,False,98,True,False,False
10.5,3.25,False,True,1,False,True,True
10.5,1.0,True,False,97,True,False,False
10.5,3.25,False,True,1,False,True,True
10.5,3.25,False,True,1,False,True,True
10.5,3.25,False,True,1,False,True,True
10.5,3.25,False,True,1,False,True,True
10.5,3.25,False,True,1,False,True,True
10.5,3.25,False,True,1,False,True,True
10.5,3.25,False,True,1,False,True,True
10.5,3.25,False,True,1,False,True,True
10.5,3.25,False,True,1,False,True,True
10.5,3.25,False,True,1,False,True,True
10.5,3.25,False,True,1,False,True,True
10.5,3.25,False,True,1,False,True,True
10.5,3.25,False,True,1,False,True,True
