phi,alpha,reproduction_rate,successor_capability,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
10.0,2.0,0.08,4.0,True,False,False,1904,4,0.0,0.0,2604.4928482786886,32.55094574030639
10.0,2.0,0.08,4.0,True,False,False,1867,4,0.0,0.0,2604.6689022097553,32.5531464148096
10.0,2.0,0.08,4.0,True,False,False,1682,4,0.0,0.0,2605.859389944609,32.56802754093657
25.0,0.1,0.06,4.0,True,False,False,175,300,0.01483786993749444,2.687627029442848,3.4592041189909866e+54,2.767366100861981e+52
10.0,2.0,0.08,4.0,True,False,False,1760,4,0.0,0.0,2590.2915597426354,32.37342937124403
10.0,2.0,0.08,4.0,True,False,False,1812,4,0.0,0.0,2604.9499529136638,32.55665955394647
25.0,0.1,0.06,4.0,False,True,False,87,300,0.014321500250213604,2.6258036836264615,0.0,0.0
25.0,0.1,0.06,4.0,False,True,False,133,300,0.029051193631356775,4.546961752369225,0.0,0.0
25.0,0.1,0.06,4.0,False,True,False,130,300,0.030468489618100628,4.7160007216495305,0.0,0.0
25.0,0.1,0.06,4.0,False,True,False,136,300,0.02915810825716081,4.535344632315867,0.0,0.0
25.0,0.1,0.06,4.0,True,False,False,193,300,0.02900930939099617,4.516275223536279,3.7658987728442105e+54,3.012722070860539e+52
25.0,0.1,0.066,4.0,True,False,False,628,300,0.02949344354407952,4.611241585171118,1.1803251138250546e+55,9.442610395421761e+52
25.0,0.1,0.066,4.0,True,False,False,420,300,0.028777516773961967,4.483995899887637,7.901302487362006e+54,6.321048361951571e+52
25.0,0.1,0.066,4.0,True,False,False,367,300,0.014296484558984097,2.613065109891532,6.947214594247146e+54,5.557777279977165e+52
25.0,0.1,0.066,4.0,True,False,False,541,300,0.028887450005042302,4.510191312416897,1.0064379915413406e+55,8.051512028773794e+52
25.0,0.1,0.066,4.0,True,False,False,315,300,0.029627056694538054,4.6099605352473425,5.936673622153431e+54,4.749343686532091e+52
