reproduction_rate,defense_active,seed,extinct,final_population,collapsed,survived,opacity_accum_final,max_opacity_reached,step_opacity_exceeded_threshold,defense_fired_count,defense_blocked_count,final_ai_generation,steps_completed,final_avg_U_sys,final_avg_L_t
0.068,False,582437706,False,255,False,True,0.5181249441554274,0.5172134133251569,135,0,0,1,300,22.27078047158436,0.2465539269039714
0.068,False,276873799,False,415,False,True,0.5729320149519661,0.5714915570426985,133,0,0,1,300,24.386763713195634,0.27300386622811296
0.068,False,1420009329,False,373,False,True,0.6181224874978525,0.6168301848276614,124,0,0,1,300,26.107144942827816,0.2945087524687932
0.068,False,953764319,False,187,True,False,0.5031374853281573,0.5024566557357028,137,0,0,1,300,21.68802676331152,0.2392694645253182
0.068,False,860129490,False,202,False,True,0.4649097735709294,0.46418346433341157,138,0,0,1,300,20.228729215868768,0.22102814260933884
0.068,False,1108674641,False,337,False,True,0.5962449045618108,0.5950270803411872,120,0,0,1,300,25.267877552794662,0.2840178510914011
0.068,False,1561284617,False,284,False,True,0.5127379675522181,0.5117143829276501,140,0,0,1,300,22.06857680626469,0.24402636680849676
0.068,False,101241022,False,230,False,True,0.5523457908414583,0.5515234447451258,130,0,0,1,300,23.575454564128883,0.2628624447647164
0.068,False,1878282650,False,240,False,True,0.44235623933742857,0.4414721179340367,171,0,0,1,300,19.371932512296347,0.2103181236144475
0.068,False,998740463,False,114,True,False,0.48034816221201204,0.47994285134666725,135,0,0,1,300,20.807272863712438,0.2282599788870299
0.068,False,176781938,False,248,False,True,0.5533799426340114,0.5525080081767125,128,0,0,1,300,23.616609466708443,0.2633768839188859
0.068,False,1052657865,False,297,False,True,0.558209582110317,0.557126284690611,139,0,0,1,300,23.80888631923987,0.26578035814466117
0.068,False,1897206144,False,129,True,False,0.4585052722759056,0.4580869754710439,129,0,0,1,300,19.973335203565064,0.21783569951288972
0.068,False,1528145600,False,192,True,False,0.5317510971693626,0.5310698050375872,126,0,0,1,300,22.782410771275263,0.25294934158889326
0.068,False,1258728889,False,206,True,False,0.5562763197882052,0.5555601301764085,122,0,0,1,300,23.722194050784502,0.26469669864652146
0.068,False,918957755,False,273,False,True,0.5297775129403562,0.5288182813645745,131,0,0,1,300,22.71700558138574,0.2521317721529089
0.068,False,1855588803,False,341,False,True,0.5321205522301751,0.5309460339025809,134,0,0,1,300,22.816281627150826,0.253372729647559
0.068,False,1090729607,False,249,False,True,0.5166025949606218,0.5157097674890271,122,0,0,1,300,22.211214526442525,0.24580934831447715
0.068,False,801016299,False,253,False,True,0.526804428871553,0.5258897193263451,135,0,0,1,300,22.601882919354725,0.25069273076117565
0.068,False,1067319699,False,204,True,False,0.5783523498004001,0.5776010538279607,117,0,0,1,300,24.565353868219507,0.2752362556572925
0.068,False,869820703,False,145,True,False,0.40066470853945746,0.4001404642698472,158,0,0,1,300,17.765897694798955,0.19024257552608262
0.068,False,1948510151,False,198,True,False,0.5233663223908858,0.5226460314934883,126,0,0,1,300,22.46260803094576,0.24895178486721045
