action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_attribution_check,parameter_defense_active,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,False,0.0,False,False,True,True,108.12372690392658,0,False,370,78.14102590586762,0,True,True,linux,1.0,0.3193275822566522,full,300,True,True,0,3,20,attack-v2-row-v1,2072366497,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,107.65027904417366,0,False,326,66.21822179865467,0,True,True,linux,1.0,0.31673138678179596,full,300,False,True,0,4,20,attack-v2-row-v1,309179139,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,107.69711561594158,0,False,313,65.08965060055294,0,True,True,linux,1.0,0.30795898992319637,full,300,True,True,0,4,20,attack-v2-row-v1,1159736155,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,109.06738957203925,0,False,332,67.54544143375776,0,True,True,linux,1.0,0.29583822360634127,full,300,False,True,0,5,20,attack-v2-row-v1,735948148,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,106.99603554280475,0,False,336,68.20347222887641,0,True,True,linux,1.0,0.2985010860787346,full,300,True,True,0,5,20,attack-v2-row-v1,966503613,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,106.04712370084599,0,False,273,55.95027224084356,0,True,True,linux,1.0,0.3214196294926245,full,300,True,True,0,6,20,attack-v2-row-v1,575041580,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,True,False,True,True,108.91983590554446,0,False,243,48.276418464957686,0,True,True,linux,1.0,0.3019038117403558,full,300,False,True,0,6,20,attack-v2-row-v1,654105404,300,300,False,False,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,107.53340357216075,0,False,294,58.91139633682103,0,True,True,linux,1.0,0.29728359832843143,full,300,True,True,0,7,20,attack-v2-row-v1,137867651,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,108.24017470469698,0,False,321,67.69472289161537,0,True,True,linux,1.0,0.29613400087926556,full,300,False,True,0,7,20,attack-v2-row-v1,1991085221,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,106.64813302876428,0,False,319,67.13750641330947,0,True,True,linux,1.0,0.2788809400839159,full,300,True,True,0,8,20,attack-v2-row-v1,1317604050,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,107.49919848470017,0,False,333,68.57826627843819,0,True,True,linux,1.0,0.3071431106722287,full,300,False,True,0,8,20,attack-v2-row-v1,1489473588,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,108.86173353763297,0,False,352,74.43214901985549,0,True,True,linux,1.0,0.30101750164122093,full,300,True,True,0,9,20,attack-v2-row-v1,212737180,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,107.59063225798309,0,False,337,70.53015217397602,0,True,True,linux,1.0,0.30403232039301875,full,300,False,True,0,9,20,attack-v2-row-v1,1041191962,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,106.03702941490337,0,False,287,58.78358169295478,0,True,True,linux,1.0,0.2929277376527445,full,300,True,True,0,10,20,attack-v2-row-v1,593216856,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,107.7735164151527,0,False,301,62.43192026365223,0,True,True,linux,1.0,0.2906669056124093,full,300,False,True,0,10,20,attack-v2-row-v1,1291866534,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,109.03214609902352,0,False,306,62.13686928576912,0,True,True,linux,1.0,0.29480139978947073,full,300,False,True,0,11,20,attack-v2-row-v1,487078984,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,90.01371491001919,0,False,333,69.05068334796428,0,True,True,linux,1.0,0.2962712859806469,full,300,True,True,0,11,20,attack-v2-row-v1,1423582967,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,110.14158859383315,0,False,297,60.884304850003495,0,True,True,linux,1.0,0.2967629556456145,full,300,False,True,0,12,20,attack-v2-row-v1,611595479,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,85.13562877289951,0,False,284,57.695015852557695,0,True,True,linux,1.0,0.31042150909625377,full,300,True,True,0,12,20,attack-v2-row-v1,729728748,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,106.71958641381934,0,False,321,68.7142945119395,0,True,True,linux,1.0,0.29475910987197573,full,300,False,True,0,13,20,attack-v2-row-v1,47317693,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,83.20996847003698,0,False,285,61.005978322779825,0,True,True,linux,1.0,0.2976116655251975,full,300,True,True,0,13,20,attack-v2-row-v1,718766415,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,True,False,True,True,87.74583746492863,0,False,257,52.484917909567685,0,True,True,linux,1.0,0.28920983102050934,full,300,True,True,0,14,20,attack-v2-row-v1,1605508896,300,300,False,False,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,108.6292244750075,0,False,269,56.20201617726336,0,True,True,linux,1.0,0.29443316603061,full,300,False,True,0,14,20,attack-v2-row-v1,2136543408,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,107.59213035227731,0,False,303,62.9383646359164,0,True,True,linux,1.0,0.32078951846412357,full,300,False,True,0,15,20,attack-v2-row-v1,1167228298,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,93.97098959516734,0,False,365,74.52188960328222,0,True,True,linux,1.0,0.2878884520569574,full,300,True,True,0,15,20,attack-v2-row-v1,1973871895,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,91.2278811740689,0,False,269,58.49843691522002,0,True,True,linux,1.0,0.2787676829483913,full,300,True,True,0,16,20,attack-v2-row-v1,1144168289,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,108.91503630718216,0,False,274,55.24490424568873,0,True,True,linux,1.0,0.2892315563389162,full,300,False,True,0,16,20,attack-v2-row-v1,1973794955,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,108.42146263504401,0,False,295,62.127088122262,0,True,True,linux,1.0,0.2824882605868284,full,300,False,True,0,17,20,attack-v2-row-v1,1810466906,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,85.79418948106468,0,False,289,60.023099844847415,0,True,True,linux,1.0,0.3081733314793621,full,300,True,True,0,17,20,attack-v2-row-v1,2124694626,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,81.97687248513103,0,False,387,78.59231410800766,0,True,True,linux,1.0,0.2902398381383361,full,300,True,True,0,18,20,attack-v2-row-v1,714749302,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,107.92035266989842,0,False,262,53.306335699320314,0,True,True,linux,1.0,0.2994814047559715,full,300,False,True,0,18,20,attack-v2-row-v1,1607153141,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,107.78304023109376,0,False,355,73.56410027059404,0,True,True,linux,1.0,0.30480417757898026,full,300,False,True,0,19,20,attack-v2-row-v1,475067922,300,300,False,True,ledger_compromise,0,0,0,False
False,True,False,0.0,False,False,True,True,86.98552027903497,0,False,333,68.08340192226787,0,True,True,linux,1.0,0.3108065958370622,full,300,True,True,0,19,20,attack-v2-row-v1,1249489398,300,300,False,True,ledger_compromise,0,0,0,False
