substrate,category,cell,seed,rr,phi,alpha,successor_capability,cop_cost_audit,survived,collapsed,extinct,final_population,final_ai_generation,yield_fired,max_yield_margin,knowledge_transfer_verified,steps_completed,end_reason,peak_population,min_viable_population,survival_threshold,elapsed_seconds,source_path,source_head,non_registered,worker_pid
v20,B,031b973f6f2a02d0,1835089113,0.06,25.0,0.5,3.0,True,False,True,False,27,2,True,0.01774180804116643,True,300,step_limit,241,50,156.65,104.74994600005448,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,44920
v20,B,031b973f6f2a02d0,1835089114,0.06,25.0,0.5,3.0,True,False,True,False,85,2,True,0.14445675931558144,True,300,step_limit,268,50,174.20000000000002,106.13510600000154,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,52736
v20,B,031b973f6f2a02d0,1835089115,0.06,25.0,0.5,3.0,True,False,True,False,30,2,True,0.4381750583718942,True,300,step_limit,279,50,181.35,107.229776400025,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,37360
v20,B,031b973f6f2a02d0,1835089116,0.06,25.0,0.5,3.0,True,False,True,False,56,2,True,1.5553135572079593,True,300,step_limit,215,50,139.75,109.82671529997606,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,47544
v20,B,031b973f6f2a02d0,1835089117,0.06,25.0,0.5,3.0,True,False,True,False,70,2,True,0.9639577272340394,True,300,step_limit,268,50,174.20000000000002,110.4716335000121,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,39392
v20,B,031b973f6f2a02d0,1835089118,0.06,25.0,0.5,3.0,True,False,True,False,41,2,True,0.5224948601057702,True,300,step_limit,235,50,152.75,108.58933349995641,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,51536
v20,B,031b973f6f2a02d0,1835089119,0.06,25.0,0.5,3.0,True,False,True,False,73,2,True,0.7474603860638389,True,300,step_limit,244,50,158.6,107.35117639997043,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,39500
v20,B,0d0ac9cb09092f46,1835089100,0.064,25.0,1.0,4.0,True,False,True,False,171,1,False,-4.650903502357594,False,300,step_limit,315,50,204.75,111.0971626000246,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,50220
v20,B,0d0ac9cb09092f46,1835089101,0.064,25.0,1.0,4.0,True,True,False,False,175,1,False,-4.652396224449732,False,300,step_limit,261,50,169.65,119.68782699998701,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,12876
v20,B,0d0ac9cb09092f46,1835089102,0.064,25.0,1.0,4.0,True,False,True,False,136,1,False,-4.650145792968451,False,300,step_limit,290,50,188.5,109.73755219997838,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,51856
v20,B,0d0ac9cb09092f46,1835089103,0.064,25.0,1.0,4.0,True,False,True,False,211,1,False,-4.650552029310931,False,300,step_limit,407,50,264.55,111.33816839999054,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,53512
v20,B,0d0ac9cb09092f46,1835089104,0.064,25.0,1.0,4.0,True,False,True,False,133,1,False,-4.652969811450396,False,300,step_limit,280,50,182.0,109.98628379998263,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,34632
