arm,seed,steps_completed,yield_condition_met_count,yield_condition_blocked_count,extinct,collapsed,final_population,final_validator_dependency_mean,final_validator_dependency_max
AS_PUBLISHED,700000055,300,1,0,False,False,461,0.0,0.0
ZERO_STRENGTH,700000056,300,1,0,False,False,430,0.0,0.0
ZERO_DEPENDENCY,700000056,300,1,0,False,False,430,0.0,0.0
AS_PUBLISHED,700000056,300,1,0,False,False,430,0.0,0.0
ZERO_STRENGTH,700000057,300,1,0,False,False,494,0.0,0.0
ZERO_DEPENDENCY,700000057,300,1,0,False,False,494,0.0,0.0
AS_PUBLISHED,700000057,300,1,0,False,False,494,0.0,0.0
ZERO_STRENGTH,700000058,300,1,0,False,False,514,0.0,0.0
ZERO_DEPENDENCY,700000058,300,1,0,False,False,514,0.0,0.0
AS_PUBLISHED,700000058,300,1,0,False,False,514,0.0,0.0
ZERO_STRENGTH,700000059,300,1,0,False,False,516,0.0,0.0
ZERO_DEPENDENCY,700000059,300,1,0,False,False,516,0.0,0.0
AS_PUBLISHED,700000059,300,1,0,False,False,516,0.0,0.0
ZERO_STRENGTH,700000060,300,1,0,False,False,448,0.0,0.0
ZERO_DEPENDENCY,700000060,300,1,0,False,False,448,0.0,0.0
AS_PUBLISHED,700000060,300,1,0,False,False,448,0.0,0.0
ZERO_STRENGTH,700000061,300,1,0,False,False,431,0.0,0.0
ZERO_DEPENDENCY,700000061,300,1,0,False,False,431,0.0,0.0
AS_PUBLISHED,700000061,300,1,0,False,False,431,0.0,0.0
ZERO_STRENGTH,700000062,300,1,0,False,False,457,0.0,0.0
ZERO_DEPENDENCY,700000062,300,1,0,False,False,457,0.0,0.0
AS_PUBLISHED,700000062,300,1,0,False,False,457,0.0,0.0
ZERO_STRENGTH,700000063,300,1,0,False,False,534,0.0,0.0
ZERO_DEPENDENCY,700000063,300,1,0,False,False,534,0.0,0.0
AS_PUBLISHED,700000063,300,1,0,False,False,534,0.0,0.0
ZERO_STRENGTH,700000064,300,1,0,False,False,482,0.0,0.0
ZERO_DEPENDENCY,700000064,300,1,0,False,False,482,0.0,0.0
AS_PUBLISHED,700000064,300,1,0,False,False,482,0.0,0.0
ZERO_STRENGTH,700000065,300,1,0,False,False,428,0.0,0.0
ZERO_DEPENDENCY,700000065,300,1,0,False,False,428,0.0,0.0
AS_PUBLISHED,700000065,300,1,0,False,False,428,0.0,0.0
ZERO_STRENGTH,700000066,300,1,0,False,False,443,0.0,0.0
ZERO_DEPENDENCY,700000066,300,1,0,False,False,443,0.0,0.0
AS_PUBLISHED,700000066,300,1,0,False,False,443,0.0,0.0
ZERO_STRENGTH,700000067,300,1,0,False,False,434,0.0,0.0
ZERO_DEPENDENCY,700000067,300,1,0,False,False,434,0.0,0.0
AS_PUBLISHED,700000067,300,1,0,False,False,434,0.0,0.0
ZERO_STRENGTH,700000068,300,1,0,False,False,428,0.0,0.0
ZERO_DEPENDENCY,700000068,300,1,0,False,False,428,0.0,0.0
AS_PUBLISHED,700000068,300,1,0,False,False,428,0.0,0.0
ZERO_STRENGTH,700000069,300,1,0,False,False,487,0.0,0.0
ZERO_DEPENDENCY,700000069,300,1,0,False,False,487,0.0,0.0
AS_PUBLISHED,700000069,300,1,0,False,False,487,0.0,0.0
