action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,corruption_active,defense_active,defense_fired,elapsed_seconds,end_reason,evaluated_yield_opportunities,executor_elapsed_seconds,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_base_transition_cost,parameter_defense_active,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,True,0.0,False,False,False,False,False,117.86198780001723,step_limit,0,117.89555690000998,False,285,54.825811925002746,248,False,True,YOTKOTEST,0.6240000000000001,0.29258829030058037,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087058,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,False,False,False,116.83793380000861,step_limit,0,116.86147529998561,False,273,54.84101073698177,249,False,True,YOTKOTEST,0.6240000000000001,0.3013880092668989,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087059,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,116.51551910000853,step_limit,0,116.55219190000207,False,272,52.34853680005663,250,False,True,YOTKOTEST,0.6240000000000001,0.28763914742317986,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087000,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,117.99537699998473,step_limit,0,118.02504820001195,False,336,68.15494970176834,250,False,True,YOTKOTEST,0.6240000000000001,0.305181228885588,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087001,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,116.92412390001118,step_limit,0,116.96124080001027,False,347,69.75245868773737,243,False,True,YOTKOTEST,0.6240000000000001,0.31498803620533494,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087002,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,118.45100860000821,step_limit,0,118.48039689997677,False,315,61.09168567011,246,False,True,YOTKOTEST,0.6240000000000001,0.28904583345479745,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087003,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,119.47710129999905,step_limit,0,119.50750680000056,False,341,65.69012079505869,236,False,True,YOTKOTEST,0.614,0.2944640040320407,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087004,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,118.63895410002442,step_limit,0,118.66887490000227,False,293,56.978186359307,236,False,True,YOTKOTEST,0.6240000000000001,0.33384104979097456,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087005,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,118.27074430001085,step_limit,0,118.29759820000618,False,376,71.52255393005608,243,False,True,YOTKOTEST,0.6240000000000001,0.31013744867992277,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087006,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,118.42878089999431,step_limit,0,118.45613719997345,False,308,61.37080178337938,236,False,True,YOTKOTEST,0.614,0.3303733553948056,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087007,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,118.27832039998611,step_limit,0,118.31145280000055,False,277,55.8003775472548,241,False,True,YOTKOTEST,0.6240000000000001,0.28824789840103426,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087008,300,300,False,True,measurement_tampering,250,0,0,True
