grid_index,horizon,total_suppression,avg_wb,V_proj,h_n,h_n_shape
6,19,0.014000000000000002,0.7403931955747912,0.12946205504911312,0.9830285127792263,0.9830285977429757
6,20,0.014000000000000002,0.7390802417546923,0.12900330694513246,0.9830285077388226,0.9830285977429757
7,1,0.21400000000000002,0.6632599026771968,0.06602013482611128,0.9827828059465354,0.9830285977429757
7,2,0.21400000000000002,0.6757402486365066,0.06852806922100677,0.9828492331343025,0.9830285977429757
7,3,0.21400000000000002,0.6868027681843217,0.07079017648630498,0.9828936025728565,0.9830285977429757
7,4,0.21400000000000002,0.6965576159428188,0.07281536171703634,0.9829239268429977,0.9830285977429757
7,5,0.21400000000000002,0.7051068391402096,0.07461373415074779,0.9829450935300451,0.9830285977429757
7,6,0.21400000000000002,0.7125449605491581,0.07619622700493162,0.9829601484431724,0.9830285977429757
7,7,0.21400000000000002,0.7189595210793533,0.07757428831838228,0.9829710294658085,0.9830285977429757
7,8,0.21400000000000002,0.7244315853452825,0.07875963158080528,0.982978994282212,0.9830285977429757
7,9,0.21400000000000002,0.7290362131725375,0.07976403658867695,0.9829848744815058,0.9830285977429757
7,10,0.21400000000000002,0.7328428996720053,0.08059919237427379,0.9829892293935577,0.9830285977429757
7,11,0.21400000000000002,0.7359159862053719,0.08127657525670882,0.9829924409577052,0.9830285977429757
7,12,0.21400000000000002,0.738315044289871,0.08180735609059252,0.9829947732816902,0.9830285977429757
7,13,0.21400000000000002,0.7400952342459568,0.08220233166639271,0.9829964106778539,0.9830285977429757
7,14,0.21400000000000002,0.7413076401782585,0.08247187596923321,0.9829974823503372,0.9830285977429757
7,15,0.21400000000000002,0.7419995826965898,0.08262590764864047,0.9829980786616372,0.9830285977429757
7,16,0.21400000000000002,0.742214910628163,0.0826738706064907,0.9829982619996441,0.9830285977429757
7,17,0.21400000000000002,0.7419942728423031,0.08262472508743603,0.982998074127338,0.9830285977429757
7,18,0.21400000000000002,0.7413753712024782,0.08248694706660092,0.9829975412064987,0.9830285977429757
7,19,0.21400000000000002,0.7403931955747912,0.08226853408275893,0.9829966772614005,0.9830285977429757
7,20,0.21400000000000002,0.7390802417546923,0.08197701596949081,0.9829954865827325,0.9830285977429757
8,1,0.41400000000000003,0.6632599026771968,0.0366966607403533,0.9732465545834923,0.9830285977429757
8,2,0.41400000000000003,0.6757402486365066,0.038090672095994205,0.9748180226492762,0.9830285977429757
8,3,0.41400000000000003,0.6868027681843217,0.03934804279194295,0.9760177171406419,0.9830285977429757
8,4,0.41400000000000003,0.6965576159428188,0.04047372264013267,0.9769422537029088,0.9830285977429757
8,5,0.41400000000000003,0.7051068391402096,0.04147333076360188,0.977660520160031,0.9830285977429757
8,6,0.41400000000000003,0.7125449605491581,0.042352944286763755,0.9782221096955573,0.9830285977429757
8,7,0.41400000000000003,0.7189595210793533,0.04311892649253022,0.9786630718226623,0.9830285977429757
8,8,0.41400000000000003,0.7244315853452825,0.04377778821216422,0.9790098599376208,0.9830285977429757
8,9,0.41400000000000003,0.7290362131725375,0.0443360771329133,0.9792820615319731,0.9830285977429757
8,10,0.41400000000000003,0.7328428996720053,0.044800290491612306,0.9794943021104503,0.9830285977429757
8,11,0.41400000000000003,0.7359159862053719,0.04517680729051788,0.9796575845014386,0.9830285977429757
8,12,0.41400000000000003,0.738315044289871,0.045471836742363346,0.9797802395025291,0.9830285977429757
8,13,0.41400000000000003,0.7400952342459568,0.045691380139904744,0.9798686068587451,0.9830285977429757
8,14,0.41400000000000003,0.7413076401782585,0.045841203763589924,0.9799275276076724,0.9830285977429757
8,15,0.41400000000000003,0.7419995826965898,0.04592682079992836,0.9799607033859848,0.9830285977429757
8,16,0.41400000000000003,0.742214910628163,0.04595348055148702,0.9799709611399298,0.9830285977429757
8,17,0.41400000000000003,0.7419942728423031,0.04592616348458905,0.9799604500394661,0.9830285977429757
8,18,0.41400000000000003,0.7413753712024782,0.0458495808889706,0.9799307894348114,0.9830285977429757
8,19,0.41400000000000003,0.7403931955747912,0.045728178120096406,0.9798831812091661,0.9830285977429757
