channel,seed,post_burn_in_records,maximum_statistic
g,1835086401,290,1.1776866159674604
g,1835086402,290,1.2641645203562335
g,1835086403,290,1.4962441654599263
g,1835086404,290,0.773609329867277
g,1835086405,290,3.4175650737113346
g,1835086406,290,1.1386830923578757
g,1835086407,290,1.7056474625333713
g,1835086408,290,1.1717555226125265
g,1835086409,290,0.8422323081013479
g,1835086410,290,2.346218468402019
g,1835086411,290,1.5459698136177826
g,1835086412,290,2.4393419700990675
g,1835086413,290,0.5439839908101296
g,1835086414,290,2.3595512966520262
g,1835086415,290,0.7032666133854844
g,1835086416,290,0.4467289980933442
g,1835086417,290,2.12153543261559
g,1835086418,290,1.7534967095584022
g,1835086419,290,0.29943655357023324
L,1835086300,290,8.979032358212248
L,1835086301,290,5.0479669719315705
L,1835086302,290,6.577549149826244
L,1835086303,290,3.488245529231953
L,1835086304,290,5.110217598341401
L,1835086305,290,3.4219822575547862
L,1835086306,290,5.231926610596673
L,1835086307,290,28.359256498844122
L,1835086308,290,5.401793813329753
L,1835086309,290,3.7792057754764183
L,1835086310,290,7.507124232224362
L,1835086311,290,4.13298063703112
L,1835086312,290,4.727426670419895
L,1835086313,290,4.081033245292561
L,1835086314,290,3.4824680372809014
L,1835086315,290,7.3063870971219185
L,1835086316,290,3.8167692567053995
L,1835086317,290,4.9775157547554505
L,1835086318,290,4.471867341133031
L,1835086319,290,6.663350425931099
L,1835086320,290,8.178562578635633
L,1835086321,290,4.8603049796854645
L,1835086322,290,3.3097141964864947
L,1835086323,290,3.7266053570392255
L,1835086324,290,10.971698382443945
L,1835086325,290,4.7714223733175025
L,1835086326,290,4.331335269169722
L,1835086327,290,5.133157242538866
L,1835086328,290,15.008379527652409
L,1835086329,290,3.7571034499057014
L,1835086330,290,6.491227645021008
L,1835086331,290,8.030991446174975
L,1835086332,290,3.7297196721024894
L,1835086333,290,6.94243529782639
L,1835086334,290,3.960205257661298
L,1835086335,290,11.75179639683761
L,1835086336,290,3.541415839508268
L,1835086337,290,3.472537835129916
L,1835086338,290,5.0610681383650356
L,1835086339,290,7.350035375823478
L,1835086340,290,3.6014290245150375
L,1835086341,290,14.036206953386905
L,1835086342,290,13.292506213797665
L,1835086343,290,9.156964382041764
L,1835086344,290,5.208393488738736
L,1835086345,290,10.75088618725252
L,1835086346,290,6.526572925918908
L,1835086347,290,4.421805488694982
L,1835086348,290,5.78022587234902
L,1835086349,290,4.9768922554347625
L,1835086350,290,4.410810994027106
L,1835086351,290,5.188183213228148
L,1835086352,290,4.591847987884096
L,1835086353,290,7.477327403689296
L,1835086354,290,9.098849899642161
L,1835086355,290,8.150392449204443
L,1835086356,290,3.700040788803266
L,1835086357,290,4.507750543072819
L,1835086358,290,5.496923612917095
L,1835086359,290,8.067139865131585
L,1835086360,290,4.432697302872491
L,1835086361,290,4.535620869129701
L,1835086362,290,8.598103321894303
