sample_idx,WELFARE_URGENCY_CAP,AGENCY_URGENCY_CAP,INSTITUTION_URGENCY_CAP,RESILIENCE_URGENCY_CAP,SUPPRESSION_PENALTY_CAP_MULTIPLIER,K_WELFARE_VIABILITY,K_WELFARE_CAPACITY,K_WELFARE_SHRINKAGE,K_WELFARE_AVG_WB_TREND,K_WELFARE_POP_TREND,K_AGENCY_VIABILITY,K_AGENCY_SHRINKAGE,K_AGENCY_POP_TREND,K_INSTITUTION_VIABILITY,K_INSTITUTION_CAPACITY,K_INSTITUTION_SHRINKAGE,K_INSTITUTION_GROWTH,K_INSTITUTION_POP_TREND,K_INSTITUTION_PSI_TREND,K_RESILIENCE_VIABILITY,K_RESILIENCE_CAPACITY,K_RESILIENCE_SHRINKAGE,K_RESILIENCE_GROWTH,K_RESILIENCE_DEFICIT_CONTRIBUTION,K_RESILIENCE_POP_TREND,K_RESILIENCE_RES_TREND,K_SUPPRESSION_VIABILITY,K_SUPPRESSION_CAPACITY,K_SUPPRESSION_SHRINKAGE,K_SUPPRESSION_POP_TREND,K_SUPPRESSION_PSI_TREND,mean_final_population,min_final_population,pairs_above_threshold,max_cosine_distance,mean_cosine_distance,welfare_mean_to_cap,agency_mean_to_cap,institution_mean_to_cap,resilience_mean_to_cap,suppression_mean_to_cap,criterion_1_pass,criterion_2_pass,criterion_3_pass,overall_good,wall_clock_sec,error
7828,1.500593,1.983396,2.887386,3.116341,1.542631,0.870601,0.020248,0.252828,0.297317,0.169778,0.582869,0.303633,0.135448,0.348305,0.412658,0.385577,0.354963,0.032556,0.308523,0.520190,0.126720,0.237150,0.289937,0.440742,0.189148,0.104447,0.165463,0.110856,0.151193,0.085570,0.064667,43.200000,33.000000,0,0.003617,0.001954,0.997945,0.756699,0.479054,0.586401,0.650484,0,0,0,0,111.842335,
7835,1.960830,1.333450,1.002141,3.541685,2.707850,0.972419,0.323571,0.089211,0.191370,0.008849,0.545557,0.349876,0.154185,0.570007,0.726568,0.064479,0.190319,0.204547,0.277594,0.215648,0.455438,0.454986,0.039134,0.210214,0.261768,0.378253,0.119736,0.374302,0.197512,0.283914,0.174944,49.400000,38.000000,0,0.003936,0.001558,0.978665,0.957099,1.000000,0.465627,0.405176,0,0,0,0,54.028754,
7830,4.176768,2.624779,3.815916,3.399435,3.888020,0.403146,0.135781,0.418504,0.058556,0.093454,0.085485,0.180736,0.171368,0.080216,0.569098,0.671454,0.187124,0.140494,0.071660,0.822955,0.313167,0.469626,0.367318,0.712578,0.230896,0.296140,0.489676,0.335408,0.218751,0.164226,0.115094,14.600000,10.000000,0,0.002111,0.000891,0.781866,0.507256,0.451922,0.764014,0.321396,0,0,1,0,109.332233,
7831,2.073324,1.007375,1.769592,1.254569,1.960784,0.665415,0.359395,0.147245,0.220467,0.107068,0.430034,0.398312,0.084169,0.453246,0.015802,0.019348,0.412421,0.164785,0.258507,0.303455,0.512970,0.112945,0.138468,0.251960,0.065447,0.058480,0.891154,0.144636,0.375587,0.040168,0.162299,63.800000,59.000000,0,0.004998,0.001621,0.967977,0.999547,0.719887,0.994031,0.607212,1,0,0,0,112.205093,
7833,4.346172,1.658864,1.954108,2.883591,2.286094,0.254323,0.457916,0.628513,0.130148,0.129383,0.038090,0.228259,0.140130,0.487434,0.258116,0.303783,0.271503,0.228115,0.139065,0.377726,0.684609,0.191242,0.118077,0.132169,0.219141,0.020765,0.287694,0.087618,0.129718,0.064908,0.225371,13.000000,9.000000,0,0.001808,0.000740,0.811898,0.797954,0.860473,0.570479,0.476037,0,0,0,0,110.723247,
7832,2.402762,2.308464,3.631423,2.426894,3.507872,0.548697,0.046787,0.199772,0.265838,0.071140,0.393512,0.444769,0.002907,0.029638,0.842409,0.430718,0.015413,0.067777,0.327621,0.998790,0.140150,0.328703,0.387661,0.496652,0.086504,0.233794,0.815912,0.401211,0.673116,0.179325,0.046990,30.000000,17.000000,0,0.001546,0.000695,0.958263,0.662069,0.378195,0.866056,0.438984,0,0,0,0,111.477724,
7834,3.790973,2.883111,3.083391,1.018797,1.829671,0.209416,0.172215,0.384054,0.054616,0.191995,0.190074,0.070832,0.091989,0.286784,0.186456,0.626265,0.464044,0.100720,0.089099,0.657085,0.305067,0.065085,0.266409,0.774637,0.053545,0.167187,0.530750,0.183745,0.397511,0.107962,0.146489,21.000000,14.000000,0,0.000972,0.000515,0.826424,0.429705,0.574210,1.000000,0.711074,0,0,0,0,111.076903,
7841,4.735071,0.841507,2.232109,3.346011,2.995050,0.202811,0.435296,0.214841,0.005218,0.172477,0.556054,0.459082,0.104568,0.111934,0.001812,0.530585,0.345943,0.199581,0.063808,0.730651,0.340351,0.427461,0.274448,0.569860,0.057931,0.017165,0.775774,0.477060,0.577228,0.043806,0.012745,30.600000,20.000000,0,0.002378,0.001069,0.573016,1.188345,0.725756,0.659226,0.481744,0,0,0,0,53.394510,
7836,1.001615,2.478103,2.365406,3.661111,3.297728,0.702438,0.226858,0.522536,0.035217,0.114398,0.342689,0.279984,0.058645,0.408221,0.519206,0.150128,0.154703,0.170096,0.032906,0.810667,0.057692,0.283354,0.245239,0.302278,0.295347,0.131715,0.631219,0.047518,0.597765,0.194686,0.107410,51.200000,35.000000,0,0.002578,0.001216,1.000000,0.524950,0.566527,0.513961,0.387191,0,0,0,0,111.771508,
7837,3.249697,0.930590,3.313223,1.684702,1.369847,0.495099,0.268808,0.054146,0.173269,0.085147,0.698164,0.047340,0.196842,0.125429,0.067648,0.537255,0.382473,0.124624,0.246303,0.314543,0.601642,0.173240,0.074218,0.662846,0.017388,0.319768,0.222387,0.488064,0.010339,0.009689,0.210864,22.400000,7.000000,0,0.000824,0.000407,0.831380,1.074587,0.483850,0.983305,0.707094,0,0,0,0,111.002952,
