arm,seed,steps_completed,end_reason,extinct,shape_fallback_increase_step_0,shape_fallback_permitted_increase_after_step_0,shape_fallback_nonpermitted_increase_count,first_fewer_than_two_novelty_vectors_step,adapter_active_steps,action_modified_steps,recorder_rng_unchanged_calls,raw_entropy_exact_matches,elapsed_seconds,raw_log,raw_log_sha256
H,1835086374,300,step_limit,False,2,0,0,null,0,0,300,300,93.65382209999916,detector_run_cal_H_1835086374_steps_attempt1.csv,13b091f70a335889021b615e87ce22a83379259243af285b14fdaea8d4bcb96e
H,1835086375,300,step_limit,False,2,0,0,null,0,0,300,300,97.15320929999871,detector_run_cal_H_1835086375_steps_attempt1.csv,a68bea30c8279862f1a86d1b5d8312a09d0b9110ad80e4542c112eb76f312682
H,1835086376,300,step_limit,False,2,0,0,null,0,0,300,300,96.2313649000007,detector_run_cal_H_1835086376_steps_attempt1.csv,8e48b9db245af86c159dfb4942c7d5334e54e81afd30bf08cf7ee9cdf1ae0479
H,1835086377,300,step_limit,False,2,0,0,null,0,0,300,300,97.24317969999902,detector_run_cal_H_1835086377_steps_attempt1.csv,885935dbb427e0272b9d13298502a229b1f3e82da646f5ac767d748b8593f8b8
H,1835086378,300,step_limit,False,2,0,0,null,0,0,300,300,96.61138179999944,detector_run_cal_H_1835086378_steps_attempt1.csv,004c36d00bce25ac72324592bb2eaee0f0df00216756b3301820ce1bb7b4524d
H,1835086379,300,step_limit,False,2,0,0,null,0,0,300,300,96.33963279999989,detector_run_cal_H_1835086379_steps_attempt1.csv,9e5a435cf34fbff8c824bb8176dbcd1d9b55807af311ccc770fff80d742ad8b0
H,1835086380,300,step_limit,False,2,0,0,null,0,0,300,300,98.068698699999,detector_run_cal_H_1835086380_steps_attempt1.csv,8f5cbbfc61aca5b3cffed3c9464a5b12c2175f331ff6b4d57e265e9027ee7ea6
H,1835086381,300,step_limit,False,2,0,0,null,0,0,300,300,95.3513839999996,detector_run_cal_H_1835086381_steps_attempt1.csv,eea570f16e630c766c3e146399319a9d9c7c1d30caaee1daadbb98787e547c51
H,1835086382,300,step_limit,False,2,0,0,null,0,0,300,300,96.03449209999962,detector_run_cal_H_1835086382_steps_attempt1.csv,3907c0da0179411f0b9d2641ea0fe6e8ec88be290a35cb88056237ea16f90b41
H,1835086383,300,step_limit,False,2,0,0,null,0,0,300,300,96.58861490000163,detector_run_cal_H_1835086383_steps_attempt1.csv,da06761ce2e63f30ff275900ad599ffcf63be834e016a5ccb1af692481c0d0d5
H,1835086384,300,step_limit,False,2,0,0,null,0,0,300,300,98.94052859999829,detector_run_cal_H_1835086384_steps_attempt1.csv,29ae2242d5243d30ea6391b26e784d78d5c8dd07b6fec5a92e1419e40f65801c
H,1835086385,300,step_limit,False,2,0,0,null,0,0,300,300,95.48608449999847,detector_run_cal_H_1835086385_steps_attempt1.csv,165699cd68b84cd072384aa798a5ad1db855aa19b2f06b09915cfb01ab7a422b
H,1835086386,300,step_limit,False,2,0,0,null,0,0,300,300,97.28620570000021,detector_run_cal_H_1835086386_steps_attempt1.csv,61576871b6f7abdbe4b25e3605cb6a394af8249710abfe3500cee899a4493e3f
H,1835086387,300,step_limit,False,2,0,0,null,0,0,300,300,97.41897119999885,detector_run_cal_H_1835086387_steps_attempt1.csv,339deacf2b4d7bb520d4b0a44145f4a832c3c2b158ba0aa77881b81e34c972e3
H,1835086388,300,step_limit,False,2,0,0,null,0,0,300,300,98.47747979999986,detector_run_cal_H_1835086388_steps_attempt1.csv,573019430242c2575cb2aa3aab07cf9c1b38cd549715a018e32c2f63aec73e52
H,1835086389,300,step_limit,False,2,0,0,null,0,0,300,300,97.29359440000007,detector_run_cal_H_1835086389_steps_attempt1.csv,cc8dde8c80be83f4a78b985599e340a738dd79a8fbd37a5be1e9606f422f6a2a
H,1835086390,300,step_limit,False,2,0,0,null,0,0,300,300,92.03377400000136,detector_run_cal_H_1835086390_steps_attempt1.csv,2f72fa41d9fbc44ec8ba7fee663a0b279798deeac38665743f8807480f16c778
H,1835086391,300,step_limit,False,2,0,0,null,0,0,300,300,92.49598610000066,detector_run_cal_H_1835086391_steps_attempt1.csv,1e0c9fca14bbd6e0a0e5d9b2e0a13cb1f3b7f9ac92e5035dbab00db19fd7864d
H,1835086392,300,step_limit,False,2,0,0,null,0,0,300,300,91.72534769999947,detector_run_cal_H_1835086392_steps_attempt1.csv,96bfc28f8ec7a96fb5eb4b5767f68226e546faf2cde1ae0fb09ac854c20da5ee
H,1835086393,300,step_limit,False,2,0,0,null,0,0,300,300,92.27116500000011,detector_run_cal_H_1835086393_steps_attempt1.csv,5caffb6f9628cb9130fd253b6a6ba46d23a706d10a20573090dfaf34c460293d
H,1835086394,300,step_limit,False,2,0,0,null,0,0,300,300,91.24526370000058,detector_run_cal_H_1835086394_steps_attempt1.csv,209166b05a17116a21a34b46cb43cf70e889362e59efa140c304ce5767533032
H,1835086395,300,step_limit,False,2,0,0,null,0,0,300,300,92.65018690000034,detector_run_cal_H_1835086395_steps_attempt1.csv,016a0ad04ef84710fb3eab0e2b4375d0655786176992c22f03f996621fb0e656
H,1835086396,300,step_limit,False,2,0,0,null,0,0,300,300,96.49586789999921,detector_run_cal_H_1835086396_steps_attempt2.csv,e12cd43cd4537bdf7e790027d12925b504f9966000cb05c2aad84b5055789f62
H,1835086397,300,step_limit,False,2,0,0,null,0,0,300,300,91.88801710000007,detector_run_cal_H_1835086397_steps_attempt1.csv,d01140c1fbcb37e950225dce5030edb15e3ea97cb8d5c1fd5e75cdef4ffbaf04
H,1835086398,300,step_limit,False,2,0,0,null,0,0,300,300,97.74089439999989,detector_run_cal_H_1835086398_steps_attempt2.csv,84727ea5dd38ada4a67d8348b1fa40604b2b8f6e7df576e14af765071a106aa1
H,1835086399,300,step_limit,False,2,0,0,null,0,0,300,300,97.42327640000076,detector_run_cal_H_1835086399_steps_attempt2.csv,340c908e52849c29968c3e4c8b29a8d7b617e67f42914231e3b35910f8fb87a7
H,1835086400,300,step_limit,False,2,0,0,null,0,0,300,300,98.36132130000078,detector_run_cal_H_1835086400_steps_attempt2.csv,ffc101d9c1c35aad01f4094eebc2e46749b682e991346737999cd5f83c7ad233
H,1835086401,300,step_limit,False,2,0,0,null,0,0,300,300,97.22238160000052,detector_run_cal_H_1835086401_steps_attempt2.csv,a4e09f1d9946437ccc9eb9c59fb29f96028c3c4b2762a3cc9ebcb1749c570b8c
H,1835086402,300,step_limit,False,2,0,0,null,0,0,300,300,98.55629150000095,detector_run_cal_H_1835086402_steps_attempt2.csv,a135618e18f4af0bb0863fa5d94514ce2af1ca25bafa319c6ebd292de6a4513d
H,1835086403,300,step_limit,False,2,0,0,null,0,0,300,300,97.81145479999941,detector_run_cal_H_1835086403_steps_attempt2.csv,17c232fbd0fe7c93ae162798672cd6d679b4518d746fc301a5fe0f6afc9f16d1
H,1835086404,300,step_limit,False,2,0,0,null,0,0,300,300,97.82497889999831,detector_run_cal_H_1835086404_steps_attempt2.csv,c34e8479d77b6d256239030cb9d60f9cd55ef1b90e49aafaeb38da7dcc618ee0
H,1835086405,300,step_limit,False,2,0,0,null,0,0,300,300,98.10436739999932,detector_run_cal_H_1835086405_steps_attempt2.csv,334e4b553b7ad2ff1581005d2e500cac774568e395f6ecd9e75457ac74d40e5a
H,1835086406,300,step_limit,False,2,0,0,null,0,0,300,300,97.91715860000113,detector_run_cal_H_1835086406_steps_attempt2.csv,354d8917b5b6dab9b38211a3af58a50f8717e842502059961d6c09d327cca8f5
H,1835086407,300,step_limit,False,2,0,0,null,0,0,300,300,97.67705039999964,detector_run_cal_H_1835086407_steps_attempt2.csv,5e229063d07cea1f95a772249f5086c7fdf259e8db47c7be9fc259c02011e05e
H,1835086408,300,step_limit,False,2,0,0,null,0,0,300,300,97.8614751999994,detector_run_cal_H_1835086408_steps_attempt2.csv,9e0833c4b89a2ebe8391ca4ea43dd0fd8c2ba71ca8d574159317d0a15de030d9
H,1835086409,300,step_limit,False,2,0,0,null,0,0,300,300,97.99152969999886,detector_run_cal_H_1835086409_steps_attempt2.csv,c915ee4ceedd8d5a57a01b882d0270693ede6b3cb116b243d46531848088b99b
H,1835086410,300,step_limit,False,2,0,0,null,0,0,300,300,97.64155060000121,detector_run_cal_H_1835086410_steps_attempt1.csv,92c032aba8d38cb583e142cb3729e0638b6c6aa95a0eeeb2037962ca750ca0bf
H,1835086411,300,step_limit,False,2,0,0,null,0,0,300,300,98.16095480000149,detector_run_cal_H_1835086411_steps_attempt1.csv,94b224ee2e4c1b5d76055325480189c5e0d49fbb51825a18c3751c97bf18fe9c
H,1835086412,300,step_limit,False,2,0,0,null,0,0,300,300,63.8327405,detector_run_cal_H_1835086412_steps_attempt1.csv,3bfe3cb93b2492aaf653b8b545218ee4bc54d63bf7c74f9ef6fe117ed441baec
H,1835086413,300,step_limit,False,2,0,0,null,0,0,300,300,63.672975999999835,detector_run_cal_H_1835086413_steps_attempt1.csv,31329a7219c1316be554939b9d9fee937f3097ea8ffb0cd89a9cadb570090638
H,1835086414,300,step_limit,False,2,0,0,null,0,0,300,300,64.14149120000002,detector_run_cal_H_1835086414_steps_attempt1.csv,50296af2e2eb3d5ba4745e7ba60c1f8534e124afd62e5b80684a8828c4c541b1
H,1835086415,300,step_limit,False,2,0,0,null,0,0,300,300,64.84363870000016,detector_run_cal_H_1835086415_steps_attempt1.csv,e498eff67e5be5d1d197e83180f866186a62004d98dc9195328a28df7253cbc4
H,1835086416,300,step_limit,False,2,0,0,null,0,0,300,300,64.62027760000092,detector_run_cal_H_1835086416_steps_attempt1.csv,ef596d7dd44d38803c06d2a36d259c5ddc00f9b27722480915d6d628a87db2c4
H,1835086417,300,step_limit,False,2,0,0,null,0,0,300,300,65.03320129999884,detector_run_cal_H_1835086417_steps_attempt1.csv,0e393decc2b72cd851d5dd201a741f759024c668096d1814317e34a6d0f04913
H,1835086418,300,step_limit,False,2,0,0,null,0,0,300,300,65.3885162000006,detector_run_cal_H_1835086418_steps_attempt1.csv,006914d860d4eef0d35e36f20e46dc4b39e1b7765560a0e717ac52b0fc97f218
H,1835086419,300,step_limit,False,2,0,0,null,0,0,300,300,64.6858685999996,detector_run_cal_H_1835086419_steps_attempt1.csv,8f4014f7ad37b668980f2b00020e8b8fa2e74cc563e91d9be39256e697a8be2c
