candidate_index,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,total_suppression,score_projection_off,score_projection_on
86,0.2738287740396267,0.009984229055194551,0.2969191648235748,0.13574287654723066,0.24212364328188987,0.04140131225248329,1.0,0.0,0.35,58.388817578546515,57.494432759363825
87,0.06494119602007273,0.23316325806830182,0.28654105144830383,0.18393760400346154,0.08800951341204483,0.14340737704781517,1.0,0.2,0.55,102.35354034863339,99.6142576500763
88,0.14525841855987676,0.01897958647343683,0.4188662698312981,0.20652018109073605,0.04867607400787907,0.16169947003677332,1.0,0.4,0.75,54.402954730464614,47.066171452179454
89,0.007420719263445757,0.24071159761387992,0.22572956001901792,0.19119334239128288,0.1652568634673187,0.16968791724505497,1.0,0.6,0.95,107.53562890256873,44.23112913023301
90,0.27670991200694867,0.021279907214827597,0.2799985918828308,0.24818624246459314,0.06433677948001085,0.10948856695078885,1.0,0.8,1.0,54.873895974382,41.99043472741499
91,0.28752436089454386,0.052086099198854555,0.43051528970722663,0.02857269923800583,0.1536713449695327,0.04763020599183651,1.0,1.0,1.0,59.522134235396095,42.06447816300348
92,0.10303037765949091,0.30805495652839004,0.32305369841019793,0.038796408262016725,0.19076665645302202,0.03629790268688221,0.0,0.0,0.0,99.07318050248472,99.08986158137098
93,0.1655117160457501,0.13379537341346281,0.4046522228005683,0.00619952594502747,0.1104079675046527,0.17943319429053867,0.0,0.2,0.2,80.00622873464943,79.9989148588067
94,0.45537370369939567,0.12420993949542788,0.031900026718996444,0.14318274984231177,0.05081853261612878,0.1945150476277395,0.0,0.4,0.4,73.16597526672012,72.66271983814731
95,0.40281743931013264,0.11914920327466777,0.00146255782779642,0.13652898615741216,0.06021756658685461,0.27982424684313634,0.0,0.6,0.6,72.41494330017304,67.359804264278
96,0.03513421428891201,0.018341616411145328,0.538716161599366,0.02553617951324664,0.31815349166600926,0.06411833652132089,0.0,0.8,0.8,61.19757954945597,47.11655015031553
97,0.3022493178116068,0.2576351939786262,0.1260349260005074,0.03788365002123377,0.10939963543276598,0.1667972767552599,0.0,1.0,1.0,94.8937659940937,42.39642449723484
98,0.3401630971177662,0.2749806805810487,0.03751212232621584,0.0410810680861084,0.19206382139916803,0.11419921048969271,0.2,0.0,0.014000000000000002,108.28240587896832,108.30175529148613
99,0.4758501581075087,0.056537771545849304,0.006369446078249933,0.202845712716601,0.13955484468594073,0.11884206686585022,0.2,0.2,0.21400000000000002,63.238422151918456,63.00824517903016
100,0.17739213907910356,0.06769190326226925,0.22447027663190056,0.40045036186409766,0.10840312429857474,0.021592194864054236,0.2,0.4,0.41400000000000003,66.21587404706193,64.86421940105714
101,0.19606799404388942,0.25183375724291074,0.11239120250420974,0.24319093573403325,0.17222054078807317,0.024295569686883775,0.2,0.6,0.614,125.18889145851928,116.97005327095619
102,0.18961142631951233,0.09275891043614312,0.42898842108668905,0.22233461143268413,0.026575377013917933,0.039731253711053516,0.2,0.8,0.8140000000000001,65.30045110446866,48.813033435132354
103,0.2884988421309536,0.12085807949625885,0.15233892996392864,0.045888359771595506,0.08328252153531028,0.30913326710195316,0.2,1.0,1.0,72.388539432075,42.19621295397031
104,0.04439108554145481,0.32933939618279623,0.20691786496896208,0.1545365804849603,0.032043007451786905,0.23277206537003972,0.4,0.0,0.05600000000000001,93.8576087028062,93.87269771717511
105,0.023585472697497566,0.2357469043793883,0.19618136357709212,0.11353398945687576,0.2640400835326381,0.16691218635650817,0.4,0.2,0.256,108.9990663567982,109.00251344044831
106,0.15273957335886365,0.20979700867544265,0.2431095673470024,0.021088398404920633,0.1251405458329592,0.2481249063808116,0.4,0.4,0.456,93.58258496473219,92.99538827202949
107,0.03985778690915559,0.08085995778051572,0.4096201746766751,0.3379520939911691,0.061188984051279885,0.07052100259120463,0.4,0.6,0.656,67.79288759029296,59.315476413586374
108,0.09145784225949054,0.3611145168895379,0.21911522369610678,0.04316330692875723,0.04410198286470076,0.24104712736140682,0.4,0.8,0.8560000000000001,87.25764604974522,54.290868926372916
109,0.22223229675627815,0.20937712078438425,0.43347225873440526,0.004867648269041304,0.07349019567001566,0.05656047978587514,0.4,1.0,1.0,85.75581995537297,42.29085446560991
110,0.25760717320338294,0.030941075159340317,0.024345634260701347,0.22499150221565414,0.23849602383525542,0.2236185913256658,0.6,0.0,0.126,63.961600311562144,63.72436945177067
111,0.0055652778516998,0.03998562080774457,0.3555472583365346,0.1362151273923522,0.4258823581148972,0.036804357496771606,0.6,0.2,0.326,69.3884490007459,68.02297712456814
112,0.14693258495824874,0.13640065929563217,0.3200397624400419,0.22742707527700198,0.02581533684153765,0.14338458118753758,0.6,0.4,0.526,80.52302429844607,78.11986534881697
113,0.09387958064911756,0.03505432999873305,0.1712007984674025,0.19977122662728897,0.488110632598458,0.011983431658999922,0.6,0.6,0.726,69.09534256562173,54.0685247605589
114,0.6384171935485548,0.012732234518710457,0.0010652324911556324,0.24570304523111242,0.09540803574472179,0.006674258465744941,0.6,0.8,0.926,54.88261914278982,42.36386695704552
