channel,seed,maximum_statistic,post_burn_in_records,maximum_binary64_hex
transfer_share,1835086405,0.2548397213526512,290,0x1.04f4b433b9be4p-2
transfer_share,1835086406,0.2527870347287476,290,0x1.02da9abc0d181p-2
transfer_share,1835086407,0.21023150310649671,290,0x1.ae8ddab3735afp-3
transfer_share,1835086408,0.22918126315597195,290,0x1.d55cfc70e30f7p-3
transfer_share,1835086409,0.23883842403747643,290,0x1.e9241ea22733bp-3
transfer_share,1835086410,0.3341274574959005,290,0x1.5625821a8fe53p-2
transfer_share,1835086411,0.43889386446583034,290,0x1.c16d64a92ee5ap-2
transfer_share,1835086412,0.24771820711909026,290,0x1.fb53aef19a1b2p-3
transfer_share,1835086413,0.27653258033812667,290,0x1.1b2b5b5352af4p-2
transfer_share,1835086414,0.27271498028885904,290,0x1.17429885e1367p-2
transfer_share,1835086415,0.2934930902401047,290,0x1.2c8973e0bb9fcp-2
transfer_share,1835086416,0.22050206848542242,290,0x1.c39696a6c30e0p-3
transfer_share,1835086417,0.48667951740295207,290,0x1.f25c1d8b83d4fp-2
transfer_share,1835086418,0.2503119757722986,290,0x1.0051c856f4e82p-2
transfer_share,1835086419,0.20327175435437364,290,0x1.a04cf109387c1p-3
compute_share,1835086300,0.548362821491531,290,0x1.18c303014bfcap-1
compute_share,1835086301,0.5036082374506383,290,0x1.01d8f05bb181ep-1
compute_share,1835086302,0.6365360652792507,290,0x1.45e80e1e32a36p-1
compute_share,1835086303,0.34094756309975455,290,0x1.5d215ba4a8495p-2
compute_share,1835086304,0.6488808141756235,290,0x1.4c3a1b27c5b64p-1
compute_share,1835086305,0.44488266188269626,290,0x1.c78f520d5fda5p-2
compute_share,1835086306,0.4840738842198646,290,0x1.efb1107649bcbp-2
compute_share,1835086307,0.5755156464484839,290,0x1.26a9fc9faa424p-1
compute_share,1835086308,0.4113612281668158,290,0x1.a53be0b746855p-2
compute_share,1835086309,0.4119474441003215,290,0x1.a5d58d0053a11p-2
compute_share,1835086310,0.4584188445113779,290,0x1.d56bbfe42f97bp-2
compute_share,1835086311,0.43684640228289345,290,0x1.bf54a9ccb89d3p-2
compute_share,1835086312,0.33402704628686325,290,0x1.560b2f9f20503p-2
compute_share,1835086313,0.6456446294335672,290,0x1.4a91eed082aaep-1
compute_share,1835086314,0.340486854875725,290,0x1.5ca89609a2f4dp-2
compute_share,1835086315,0.47029669015955583,290,0x1.e195749e9bfe5p-2
compute_share,1835086316,0.566994946635957,290,0x1.224d296198ef4p-1
compute_share,1835086317,0.5319694612198558,290,0x1.105e4d1cd1ee4p-1
compute_share,1835086318,0.30457147282844266,290,0x1.37e1958c5ef06p-2
