action_modified,attack_attempted,attack_succeeded,branch_active,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,end_reason,evaluated_yield_opportunities,executor_elapsed_seconds,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_base_transition_cost,parameter_defense_active,passthrough_call_count,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,True,True,0.0,False,False,False,False,127.07412720000139,step_limit,0,127.10114450000401,False,328,63.7819523235681,244,False,True,YOTKOTEST,0.656,0.30702157909735917,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087082,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,127.77745990000403,step_limit,0,127.81734120000328,False,253,48.68279980435051,249,False,True,YOTKOTEST,0.6240000000000001,0.3030911842473522,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087083,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,128.6705768000029,step_limit,0,128.70139390000259,False,285,53.94608630310779,245,False,True,YOTKOTEST,0.614,0.30950565333091945,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087084,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,127.54895260000194,step_limit,0,127.57594509999763,False,394,76.91260674506748,245,False,True,YOTKOTEST,0.614,0.31694995370110246,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087085,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,128.63320039999962,step_limit,0,128.67357330000232,False,309,60.98397800347634,237,False,True,YOTKOTEST,0.6240000000000001,0.2882012659498919,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087086,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,128.4179385000025,step_limit,0,128.4497470999995,False,288,57.191267947441425,245,False,True,YOTKOTEST,0.6240000000000001,0.33585788709016423,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087087,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,130.6250113999995,step_limit,0,130.65751799999998,False,308,59.72755309727529,234,False,True,YOTKOTEST,0.656,0.3108910083783756,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087088,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,True,0.0,False,False,False,False,129.20915570000216,step_limit,0,129.24029059999884,False,242,46.16763136051034,249,False,True,YOTKOTEST,0.656,0.3105820935795485,full,300,1.5,False,null,0,0,20,attack-v2-row-v1,1835087089,300,300,False,True,measurement_tampering,250,0,0,True
False,False,False,False,0.0,False,False,True,False,127.61480860000302,step_limit,1,127.6562036999967,False,302,103.22456300691982,1,False,True,YOTKOTEST,0.656,0.34725279398374265,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087060,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,127.65028509999684,step_limit,1,127.6751488000009,False,301,94.26784006104683,1,False,True,YOTKOTEST,0.656,0.3131626032272886,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087061,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,128.0576449,step_limit,1,128.09012919999805,False,349,113.73912797080543,1,False,True,YOTKOTEST,0.656,0.3092671432371646,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087062,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,128.3840507999994,step_limit,1,128.407590099996,False,350,118.47854782271473,1,False,True,YOTKOTEST,0.656,0.33914281956202275,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087063,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,127.15570390000357,step_limit,1,127.18829799999367,False,323,109.11463981263742,1,False,True,YOTKOTEST,0.656,0.3147416855127411,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087064,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,127.61713940000482,step_limit,1,127.64775749999535,False,347,105.06011102914454,1,False,True,YOTKOTEST,0.656,0.2979755647323573,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087065,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,127.65496629999689,step_limit,1,127.67918540000392,False,307,95.74787239378323,1,False,True,YOTKOTEST,0.6240000000000001,0.3070794994944729,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087066,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,127.4076694999967,step_limit,1,127.43316490000143,False,236,78.5951590325814,1,False,True,YOTKOTEST,0.656,0.30958181929042533,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087067,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,127.59032750000188,step_limit,1,127.61057080000319,False,312,100.64953550128271,1,False,True,YOTKOTEST,0.656,0.29583569910769586,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087068,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,127.74547840000014,step_limit,1,127.77363599999808,False,297,95.99899400883204,1,False,True,YOTKOTEST,0.656,0.29900519196678604,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087069,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,127.37589120000484,step_limit,1,127.40045580000151,False,328,102.29203817026634,1,False,True,YOTKOTEST,0.656,0.29031415309632697,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087070,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,127.86380030000146,step_limit,1,127.89513129999978,False,299,100.38427557643976,1,False,True,YOTKOTEST,0.656,0.26400155176313095,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087071,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,127.40865449999546,step_limit,1,127.43749949999619,False,363,110.82373635001129,1,False,True,YOTKOTEST,0.6240000000000001,0.295318516942524,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087072,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,127.91816359999939,step_limit,1,127.95383769999899,False,266,86.53184680182284,1,False,True,YOTKOTEST,0.656,0.2882705072697771,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087073,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,127.97177210000518,step_limit,1,128.00568779999594,False,338,104.30579863201392,1,False,True,YOTKOTEST,0.656,0.32655726971712645,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087074,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,131.19806500000414,step_limit,1,131.23289320000185,False,323,109.1723094653823,1,False,True,YOTKOTEST,0.656,0.31634894783694834,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087075,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,131.88068850000127,step_limit,1,131.9162040999945,False,318,100.06582120696245,1,False,True,YOTKOTEST,0.656,0.30519680348985023,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087076,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,131.63293240000348,step_limit,1,131.67442900000606,False,309,95.4290310969921,1,False,True,YOTKOTEST,0.656,0.3117158366089814,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087077,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,132.77884979999362,step_limit,1,132.81026089999796,False,337,113.42701405112891,1,False,True,YOTKOTEST,0.656,0.30844204796128527,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087078,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,132.41454269999667,step_limit,1,132.4483254000006,False,274,86.48260623874751,1,False,True,YOTKOTEST,0.656,0.2823273531961995,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087079,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,132.21273559999827,step_limit,1,132.25107239999488,False,286,94.12175106607374,1,False,True,YOTKOTEST,0.656,0.3021112355234518,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087080,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,133.5829337000032,step_limit,1,133.6156448000038,False,336,114.90664024366319,1,False,True,YOTKOTEST,0.656,0.3157638171970985,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087081,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,132.13924669999687,step_limit,1,132.16779510000197,False,322,101.75512515481726,1,False,True,YOTKOTEST,0.656,0.294736049087469,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087082,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,132.11070990000007,step_limit,1,132.1399345999962,False,238,74.44263363922684,1,False,True,YOTKOTEST,0.656,0.3100549278514355,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087083,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,132.4074252000064,step_limit,1,132.44068349999725,False,379,124.90278030836473,1,False,True,YOTKOTEST,0.656,0.30950565333091945,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087084,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,133.76183679999667,step_limit,1,133.80449649999355,False,309,101.5676262119233,1,False,True,YOTKOTEST,0.656,0.31694995370110246,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087085,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,133.95647769999778,step_limit,1,133.99627489999693,False,328,99.19265700181715,1,False,True,YOTKOTEST,0.656,0.2882012659498919,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087086,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,134.2450919000039,step_limit,1,134.27915400000347,False,279,90.06245025056913,1,False,True,YOTKOTEST,0.656,0.3250326219669129,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087087,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,True,False,133.3674053000068,step_limit,1,133.40025729999616,False,309,106.41809063113105,1,False,True,YOTKOTEST,0.656,0.3108910083783756,full,300,1.5,True,250,1,0,20,attack-v2-row-v1,1835087088,300,300,False,True,measurement_tampering,250,0,1,False
