successor_capability,alpha,rr,seed,survived,final_population,final_ai_generation,final_active_capability,yield_fired,yield_fire_count,yield_eval_count,max_yield_margin,mean_yield_margin,final_theta_capability,final_transfer_state,final_avg_well_being,final_theta_tech_observed,final_runaway_term,expected_theta_tech,theta_relative_error,theta_below_floor,max_eval_runaway_term,min_eval_theta_tech,eval_observations_below_floor,extreme_eval_observations
5.0,1.5,0.057,13,False,16,1,1.0,False,0,500,-4.650590755868334,-12.889334869118244,0.7482229465834108,0.9561607764138661,0.7983515103892668,0.7154214335358647,0.0,0.7154214335358647,0.0,False,6.167954985079106,0.01,0,3
5.0,1.5,0.057,14,False,0,1,1.0,False,0,488,-3.5724291259010457,-13.891455850036575,0.7261781233774313,0.9666588033544662,0.0,0.01,71.11781233774312,0.01,0.0,False,6.384235267039943,0.01,0,10
5.0,1.5,0.057,17,False,0,1,1.0,False,0,421,-3.595358586517138,-12.389321304242515,0.735198653703774,0.9518821112253134,0.0,0.01,72.0198653703774,0.01,0.0,False,6.0988393533068495,0.01,0,5
5.0,1.5,0.057,18,False,6,1,1.0,False,0,500,-4.647597226308257,-14.024259328311947,0.7313536115712747,0.928800983406574,0.8950398353420229,0.6792819536453495,0.0,0.6792819536453495,0.0,False,6.044670238865609,0.01,0,3
5.0,1.5,0.057,21,False,0,1,1.0,False,0,496,-3.639236438107259,-11.529165331362695,0.7218106388499689,0.9752817166934201,0.0,0.01,70.68106388499689,0.01,0.0,False,6.0112606870086776,0.01,0,2
5.0,1.5,0.057,22,False,0,1,1.0,False,0,301,-3.4252028330303204,-16.552579633738805,0.6494177497380792,0.9729004757730286,0.0,0.01,63.441774973807924,0.01,0.0,False,10.04626370813441,0.01,0,13
5.0,1.5,0.057,23,False,15,1,1.0,False,0,500,-4.65354328117194,-13.221177054531543,0.7493089527340692,0.9394075456982633,0.8179089754516624,0.7039064842576479,0.0,0.7039064842576479,0.0,False,5.90114238475389,0.01,0,3
5.0,1.5,0.057,24,False,0,1,1.0,False,0,264,-3.6205897898079256,-12.77064973443947,0.7771564444715104,0.9273493243105752,0.0,0.01,76.21564444715105,0.01,0.0,False,6.23000479126504,0.01,0,4
5.0,1.5,0.06,0,False,11,1,1.0,False,0,500,-4.64864672834287,-15.792371031325558,0.7113052763260079,0.9417008423909539,0.6937806429453812,0.6698367779133318,0.0,0.6698367779133318,0.0,False,6.124561676373703,0.01,0,3
5.0,1.5,0.06,1,True,39,1,1.0,False,0,500,-4.6507331238572895,-17.30437263663874,0.7645484807600303,0.9050382063638597,0.8165187327895135,0.6919455857052718,0.0,0.6919455857052718,0.0,False,6.008904271454751,0.01,0,3
5.0,1.5,0.06,2,False,7,1,1.0,False,0,500,-4.651059343326475,-17.743264865578993,0.7551345969270177,0.9093566889859452,0.8127796518418275,0.6866866968002892,0.0,0.6866866968002892,0.0,False,5.984159718954515,0.01,0,4
5.0,1.5,0.06,3,False,8,1,1.0,False,0,500,-3.5908588466445277,-15.939362086947014,0.745837916605402,0.9012218665094971,0.8194785055267847,0.672165439316675,0.0,0.672165439316675,0.0,False,6.199540512114457,0.01,0,3
5.0,1.5,0.06,4,True,60,1,1.0,False,0,500,-4.648959363690434,-18.067184863062742,0.7341111184838047,0.9517376037463288,0.8077610469337188,0.6986811567893135,0.0,0.6986811567893135,0.0,False,6.033047877111511,0.01,0,3
5.0,1.5,0.06,5,False,10,1,1.0,False,0,500,-3.540557190104452,-15.415755924843356,0.699996923782708,0.9301701669446755,0.930480412004747,0.6511162554557207,0.0,0.6511162554557207,0.0,False,6.102485977053628,0.01,0,3
5.0,1.5,0.06,6,False,12,1,1.0,False,0,500,-4.653729144818993,-14.949819758636599,0.7144532371924844,0.9427298555439594,0.8740327954138717,0.673536397091385,0.0,0.673536397091385,0.0,False,6.094889086527816,0.01,0,3
5.0,1.5,0.06,7,False,4,1,1.0,False,0,500,-3.608141719090175,-13.842596520014721,0.7305976356757511,0.9514178223422792,0.6941986000198057,0.695103611543041,0.0,0.695103611543041,0.0,False,6.167188847149819,0.01,0,3
5.0,1.5,0.06,8,False,20,1,1.0,False,0,500,-4.651154218365148,-15.752952305530789,0.7330619927578148,0.9361439207967321,0.7922338169464177,0.6862515280873664,0.0,0.6862515280873664,0.0,False,5.981215050674579,0.01,0,3
5.0,1.5,0.06,9,False,0,1,1.0,False,0,500,-3.187291069675934,-13.499338925393152,0.755800275708221,0.7462496314763984,0.0,0.01,74.0800275708221,0.01,0.0,False,369.9738293201163,0.01,0,15
5.0,1.5,0.06,12,False,0,1,1.0,False,0,448,-3.523752088850205,-16.23339630922326,0.7044620132412461,0.9603108921766731,0.0,0.01,68.94620132412462,0.01,0.0,False,6.420071470582317,0.01,0,3
5.0,1.5,0.06,13,False,0,1,1.0,False,0,423,-3.5647957708087823,-17.773341021539757,0.7075410533941049,0.9659024077785857,0.0,0.01,69.25410533941049,0.01,0.0,False,6.2615339296959105,0.01,0,5
5.0,1.5,0.06,10,False,29,1,1.0,False,0,500,-4.649196797818002,-16.076147020005955,0.7842689427094246,0.9311993785285656,0.8258030581051988,0.7303107520502714,0.0,0.7303107520502714,0.0,False,6.038839780115782,0.01,0,4
5.0,1.5,0.06,11,False,0,1,1.0,False,0,417,-3.518234930181829,-20.492409063994764,0.6099157082521625,0.9836481776873887,0.0,0.01,59.49157082521624,0.01,0.0,False,10.282877494281056,0.01,0,20
5.0,1.5,0.06,18,False,0,1,1.0,False,0,300,-3.6038601985094103,-13.757271018873094,0.699612927563061,0.9356767603372715,0.0,0.01,68.46129275630611,0.01,0.0,False,6.0209586267679,0.01,0,2
