action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_shock_magnitude,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,False,False,False,False,71.31339095206931,0,False,335,78.58067606722432,0,False,True,linux,1.0,0.1685434021760122,full,300,False,0.15,0,17,20,attack-v2-row-v1,1034543083,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.47030480299145,0,False,348,81.16627394649511,0,False,True,linux,1.0,0.17905602360002754,full,300,False,0.1,0,17,20,attack-v2-row-v1,1433723900,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.9768039053306,0,False,303,69.6331160249312,0,False,True,linux,1.0,0.16858453475524,full,300,False,0.15,0,18,20,attack-v2-row-v1,1131234862,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.08391816588119,0,False,275,62.59523348717218,0,False,True,linux,1.0,0.15804633596126277,full,300,False,0.2,0,18,20,attack-v2-row-v1,1294688674,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.22676226077601,0,False,370,85.86531579224277,0,False,True,linux,1.0,0.17907528025911787,full,300,False,0.1,0,18,20,attack-v2-row-v1,1595461122,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.09417509427294,0,False,293,68.22585175157947,0,False,True,linux,1.0,0.15805621022730706,full,300,False,0.2,0,19,20,attack-v2-row-v1,619974461,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,72.09227254800498,0,False,319,73.21551816583687,0,False,True,linux,1.0,0.16856589620804963,full,300,False,0.15,0,19,20,attack-v2-row-v1,1427100335,200,200,False,True,engineered_fragility,0,0,0,False
True,True,True,0.0,False,False,False,False,71.97034308081493,0,False,292,66.3041368142899,0,False,True,linux,1.0,0.17905543114555955,full,300,False,0.1,0,19,20,attack-v2-row-v1,2008580060,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.57177198305726,0,False,307,61.10534756614469,0,False,True,linux,1.0,0.2862392727451164,full,300,True,0.2,0,0,20,attack-v2-row-v1,67893333,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.89036810724065,0,False,307,64.03781686914182,0,False,True,linux,1.0,0.3137669768751134,full,300,True,0.15,0,0,20,attack-v2-row-v1,430406186,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.4827202851884,0,False,332,70.54526689360318,0,False,True,linux,1.0,0.30486971088963244,full,300,True,0.1,0,0,20,attack-v2-row-v1,1885114396,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.40760801592842,0,False,339,70.9115928322491,0,False,True,linux,1.0,0.2888598304138098,full,300,True,0.15,0,1,20,attack-v2-row-v1,789141901,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.44621483329684,0,False,214,43.955282527519806,0,False,True,linux,1.0,0.3218321570746951,full,300,True,0.2,0,1,20,attack-v2-row-v1,1028404288,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.78325292794034,0,False,295,60.85262378638946,0,False,True,linux,1.0,0.2925273582141049,full,300,True,0.1,0,1,20,attack-v2-row-v1,1597802564,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.61394695937634,0,False,333,68.81152566338196,0,False,True,linux,1.0,0.29172389958497,full,300,True,0.1,0,2,20,attack-v2-row-v1,966754613,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.57235651789233,0,False,370,76.7191440003886,0,False,True,linux,1.0,0.28278384826688807,full,300,True,0.2,0,2,20,attack-v2-row-v1,1635269265,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.3060377119109,0,False,366,76.2708507427324,0,False,True,linux,1.0,0.2779376518345291,full,300,True,0.15,0,2,20,attack-v2-row-v1,1994658058,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.21633440209553,0,False,389,81.85667345412752,0,False,True,linux,1.0,0.306041182435285,full,300,True,0.2,0,3,20,attack-v2-row-v1,213228225,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.0711398748681,0,False,257,51.621594702336196,0,False,True,linux,1.0,0.3037167218268236,full,300,True,0.1,0,3,20,attack-v2-row-v1,1439839940,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.57994090113789,0,False,299,62.527149658929496,0,False,True,linux,1.0,0.2873972678105457,full,300,True,0.15,0,3,20,attack-v2-row-v1,1621617643,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,70.37996364710853,0,False,283,58.742326054670315,0,False,True,linux,1.0,0.2923081882673614,full,300,True,0.2,0,4,20,attack-v2-row-v1,664955670,200,200,False,True,engineered_fragility,0,0,0,False
