action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_capture_strength,parameter_defense_active,parameter_defense_mode,parameter_dependency_rate,parameter_rotation_interval,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,True,1.0,False,False,False,False,195.48647423600778,249,False,455,95.22995196297829,249,False,True,linux,1.0,0.30307386988833157,full,300,1.0,False,undefended,0.02,,0,6,20,attack-v2-row-v1,695568803,300,300,True,True,biological_veto_capture,250,249,249,False
False,True,True,1.0,False,False,False,False,198.40088521223515,250,False,448,92.265149260081,250,False,True,linux,1.0,0.2994867956498868,full,300,1.0,False,undefended,0.2,,0,6,20,attack-v2-row-v1,916682403,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,False,0.0,False,False,False,False,199.2038620118983,1,False,492,159.47730560224838,1,False,True,linux,1.0,0.30478956342851116,full,300,0.7,False,undefended,0.1,,1,6,20,attack-v2-row-v1,1173702139,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,1.0,False,False,False,False,199.22293658694252,249,False,428,89.93007749355215,249,False,True,linux,1.0,0.28794015851371674,full,300,0.9,False,undefended,0.1,,0,6,20,attack-v2-row-v1,1285475035,300,300,True,True,biological_veto_capture,250,249,249,False
False,True,False,0.0,False,False,False,False,198.46569047495723,1,False,455,163.3707294454382,1,False,True,linux,1.0,0.29515559974738526,full,300,0.5,False,undefended,0.01,,1,6,20,attack-v2-row-v1,1773867891,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.9955555555555555,False,False,False,False,197.94046248821542,225,False,392,145.91697988903778,225,False,True,linux,1.0,0.30053555255441294,full,300,0.9,False,undefended,0.2,,1,6,20,attack-v2-row-v1,1867647551,300,300,True,True,biological_veto_capture,250,224,225,False
False,True,True,0.6666666666666666,False,False,False,False,197.26151128066704,3,False,492,169.7927174335069,3,False,True,linux,1.0,0.3000223459070111,full,300,0.7,False,undefended,0.05,,1,6,20,attack-v2-row-v1,1916286107,300,300,True,True,biological_veto_capture,250,2,3,False
False,True,True,0.5,False,False,False,False,198.24982914421707,2,False,410,139.56896152236754,2,False,True,linux,1.0,0.33446434772684686,full,300,0.5,False,undefended,0.05,,1,6,20,attack-v2-row-v1,1951472759,300,300,True,True,biological_veto_capture,250,1,2,False
False,True,False,0.0,False,False,False,False,199.99679280025885,1,False,447,153.2301041422753,1,False,True,linux,1.0,0.29625499088838353,full,300,0.3,False,undefended,0.02,,1,6,20,attack-v2-row-v1,2018051199,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,1.0,False,False,False,False,199.84055301221088,248,False,469,94.71857824228145,248,False,True,linux,1.0,0.29324271896674814,full,300,1.0,False,undefended,0.05,,0,6,20,attack-v2-row-v1,2076175847,300,300,True,True,biological_veto_capture,250,248,248,False
False,True,True,0.9375,False,False,False,False,201.07994690537453,16,False,434,144.98489732703928,16,False,True,linux,1.0,0.3019094121764838,full,300,0.7,False,undefended,0.15,,1,7,20,attack-v2-row-v1,236988047,300,300,True,True,biological_veto_capture,250,15,16,False
False,True,True,0.5,False,False,False,False,200.71210944000632,2,False,443,153.31069458775343,2,False,True,linux,1.0,0.28873820063288536,full,300,0.3,False,undefended,0.05,,1,7,20,attack-v2-row-v1,446359607,300,300,True,True,biological_veto_capture,250,1,2,False
False,True,False,0.0,False,False,False,False,193.53820547601208,1,False,427,146.63289877683613,1,False,True,linux,1.0,0.29438067955102815,full,300,0.5,False,undefended,0.1,,1,7,20,attack-v2-row-v1,649217019,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,False,0.0,False,False,False,False,199.707862558309,1,False,425,145.09840990187874,1,False,True,linux,1.0,0.287131944767037,full,300,0.5,False,undefended,0.01,,1,7,20,attack-v2-row-v1,1646117479,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,1.0,False,False,False,False,200.37503885803744,248,False,433,90.68066805379893,248,False,True,linux,1.0,0.2985845974727864,full,300,1.0,False,undefended,0.05,,0,7,20,attack-v2-row-v1,1959843835,300,300,True,True,biological_veto_capture,250,248,248,False
False,True,True,0.75,False,False,False,False,196.66780569497496,4,False,497,171.33604713334717,4,False,True,linux,1.0,0.3237206834487338,full,300,0.7,False,undefended,0.05,,1,8,20,attack-v2-row-v1,1023514343,300,300,True,True,biological_veto_capture,250,3,4,False
False,True,True,1.0,False,False,False,False,196.08314326079562,250,False,439,90.40187927298743,250,False,True,linux,1.0,0.29453113738921055,full,300,1.0,False,undefended,0.02,,0,8,20,attack-v2-row-v1,1051019027,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,True,1.0,False,False,False,False,196.01746464986354,250,False,516,103.47900196057412,250,False,True,linux,1.0,0.28937622385077116,full,300,0.9,False,undefended,0.15,,0,8,20,attack-v2-row-v1,1300348991,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,True,1.0,False,False,False,False,197.31697528110817,250,False,453,93.5461972312225,250,False,True,linux,1.0,0.30991359741092606,full,300,1.0,False,undefended,0.2,,0,8,20,attack-v2-row-v1,1438542371,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,True,0.9743589743589743,False,False,False,False,201.39464681921527,39,False,454,155.7337449976576,39,False,True,linux,1.0,0.3000244230577163,full,300,0.7,False,undefended,0.02,,1,9,20,attack-v2-row-v1,125175511,300,300,True,True,biological_veto_capture,250,38,39,False
False,True,True,1.0,False,False,False,False,197.79530011909083,250,False,434,88.9204017253658,250,False,True,linux,1.0,0.28936878324757603,full,300,1.0,False,undefended,0.2,,0,9,20,attack-v2-row-v1,227403211,300,300,True,True,biological_veto_capture,250,250,250,False
