action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_phi,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,False,False,False,40.43640060117468,0,True,0,2.693473061522093,0,False,True,linux,1.0,0.3116581671842699,full,300,False,10.0,0,9,20,attack-v2-row-v1,1169763231,110,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,36.39516649674624,0,True,0,2.8032392561777404,0,False,True,linux,1.0,0.29427368811297316,full,300,False,1.0,0,9,20,attack-v2-row-v1,1878103225,106,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.81115663005039,0,True,0,2.6934725716196977,0,False,True,linux,1.0,0.31435565727314296,full,300,False,25.0,0,10,20,attack-v2-row-v1,70850532,110,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,42.9674929138273,0,True,0,2.511638122578431,0,False,True,linux,1.0,0.2970365060154471,full,300,False,10.0,0,10,20,attack-v2-row-v1,860024012,117,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.848450880963355,0,True,0,2.8032387410101074,0,False,True,linux,1.0,0.32999999999999996,full,300,False,5.0,0,10,20,attack-v2-row-v1,1467522385,106,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,36.49493841500953,0,True,0,2.9176680257542356,0,False,True,linux,1.0,0.3088968978023579,full,300,False,1.0,0,10,20,attack-v2-row-v1,1903872569,102,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,37.17286690603942,0,True,0,2.888495150355157,0,False,True,linux,1.0,0.31343011730316955,full,300,False,15.0,0,10,20,attack-v2-row-v1,1930918735,103,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.1412988579832,0,True,0,2.8034126140490185,0,False,True,linux,1.0,0.32999999999999996,full,300,False,1.0,0,11,20,attack-v2-row-v1,579767297,106,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,33.498642817139626,0,True,0,3.1287602701541966,0,False,True,linux,1.0,0.3110315781855442,full,300,False,25.0,0,11,20,attack-v2-row-v1,906817094,95,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,39.22454365203157,0,True,0,2.6402141575636295,0,False,True,linux,1.0,0.31328150564507556,full,300,False,10.0,0,11,20,attack-v2-row-v1,1146480737,112,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,39.698168153874576,0,True,0,2.69347266165963,0,False,True,linux,1.0,0.29359893466942355,full,300,False,15.0,0,11,20,attack-v2-row-v1,1259471393,110,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,36.751083460170776,0,True,0,2.8884956746895614,0,False,True,linux,1.0,0.28884495871791105,full,300,False,5.0,0,11,20,attack-v2-row-v1,1755638559,103,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.21844091499224,0,True,0,2.747806804311196,0,False,True,linux,1.0,0.3098772223507175,full,300,False,1.0,0,12,20,attack-v2-row-v1,153317725,108,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,32.732086807955056,0,True,0,3.256304260219438,0,False,True,linux,1.0,0.3140736701752961,full,300,False,15.0,0,12,20,attack-v2-row-v1,300199836,91,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,44.13218054175377,0,True,0,2.3893333484634356,0,False,True,linux,1.0,0.29500875919022274,full,300,False,25.0,0,12,20,attack-v2-row-v1,788550414,122,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,35.786650540772825,0,True,0,3.0668786109382964,0,False,True,linux,1.0,0.317473624071588,full,300,False,10.0,0,12,20,attack-v2-row-v1,1057672031,97,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,36.776297834701836,0,True,0,2.8884953037075958,0,False,True,linux,1.0,0.32999999999999996,full,300,False,5.0,0,12,20,attack-v2-row-v1,1097689384,103,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,39.23142747255042,0,True,0,2.7205036130642126,0,False,True,linux,1.0,0.2861106710200424,full,300,False,15.0,0,13,20,attack-v2-row-v1,98628760,109,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,37.88095426000655,0,True,0,2.7478069850580806,0,False,True,linux,1.0,0.3225800993024534,full,300,False,10.0,0,13,20,attack-v2-row-v1,401152318,108,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,36.598967481870204,0,True,0,2.946771490588818,0,False,True,linux,1.0,0.3073029902596137,full,300,False,25.0,0,13,20,attack-v2-row-v1,773031945,101,300,False,False,bootstrap_subversion,0,0,0,False
